pay,year,department,gender
22.33,0.0,Support,F
22.84,0.0,Support,F
21.9,0.0,Support,M
22.94,0.0,Support,F
22.14,0.0,Support,F
21.93,0.0,Support,M
22.44,0.0,Support,F
20.89,0.0,Support,M
23.34,0.0,Support,F
20.21,0.0,Support,M
23.52,0.0,Support,F
23.68,0.0,Support,F
22.58,0.0,Support,F
21.3,0.0,Support,M
22.67,0.0,Support,M
22.51,0.0,Support,F
21.45,0.0,Support,M
24.04,0.0,Support,F
23.16,0.0,Support,F
20.5,0.0,Support,M
21.91,0.0,Support,F
21.77,0.0,Support,M
21.78,0.0,Support,F
22.96,0.0,Support,F
23.59,0.0,Support,F
24.27,0.0,Support,F
21.84,0.0,Support,M
23.73,0.0,Support,F
22.0,0.0,Support,F
23.21,0.0,Support,F
23.98,0.0,Support,F
22.23,0.0,Support,F
21.94,0.0,Support,F
23.73,0.0,Support,F
23.2,0.0,Support,F
23.1,0.0,Support,F
22.82,0.0,Support,F
22.47,0.0,Support,M
22.87,0.0,Support,F
22.99,0.0,Support,F
22.98,0.0,Support,F
23.87,0.0,Support,F
23.0,0.0,Support,F
21.4,0.0,Support,M
23.23,0.0,Support,F
22.7,0.0,Support,F
20.12,0.0,Support,M
22.12,0.0,Support,F
24.13,0.0,Support,F
22.65,0.0,Support,F
22.22,0.0,Support,F
21.91,0.0,Support,F
24.37,0.0,Support,F
22.84,0.0,Support,F
20.62,0.0,Support,M
23.28,0.0,Support,F
21.76,0.0,Support,F
23.67,0.0,Support,F
21.22,0.0,Support,M
24.4,0.0,Support,F
23.27,0.0,Support,F
21.31,0.0,Support,M
23.43,0.0,Support,F
21.32,0.0,Support,M
22.06,0.0,Support,F
22.27,0.0,Support,F
20.43,0.0,Support,M
19.85,0.0,Support,M
22.75,0.0,Support,F
24.4,0.0,Support,F
22.21,0.0,Support,M
22.73,0.0,Support,F
22.6,0.0,Support,F
22.9,0.0,Support,F
21.05,0.0,Support,M
20.5,0.0,Support,M
23.34,0.0,Support,F
21.44,0.0,Support,M
23.21,0.0,Support,F
21.33,0.0,Support,M
23.12,0.0,Support,F
24.39,0.0,Support,F
23.68,0.0,Support,F
20.36,0.0,Support,M
22.16,0.0,Support,F
22.64,0.0,Support,F
22.88,0.0,Support,F
20.53,0.0,Support,M
20.65,0.0,Support,M
22.72,0.0,Support,F
21.55,0.0,Support,F
21.45,0.0,Support,F
24.38,0.0,Support,F
22.76,0.0,Support,F
22.59,0.0,Support,F
23.26,0.0,Support,F
21.67,0.0,Support,F
22.33,0.0,Support,F
19.88,0.0,Support,M
23.79,0.0,Support,F
22.68,0.0,Support,F
23.57,0.0,Support,F
22.04,0.0,Support,F
23.04,0.0,Support,F
23.57,0.0,Support,F
20.33,0.0,Support,M
23.58,0.0,Support,F
23.19,0.0,Support,F
22.68,0.0,Support,F
23.57,0.0,Support,F
23.57,0.0,Support,F
23.02,0.0,Support,F
23.17,0.0,Support,F
22.38,0.0,Support,M
24.84,0.0,Support,F
24.07,0.0,Support,F
23.24,0.0,Support,F
19.75,0.0,Support,M
23.04,0.0,Support,F
20.48,0.0,Support,M
23.61,0.0,Support,F
23.04,0.0,Support,F
22.92,0.0,Support,F
20.43,0.0,Support,M
22.68,0.0,Support,F
22.77,0.0,Support,F
20.99,0.0,Support,M
23.19,0.0,Support,F
23.43,0.0,Support,F
24.03,0.0,Support,F
23.93,0.0,Support,F
21.64,0.0,Support,F
21.45,0.0,Support,M
21.81,0.0,Support,M
23.17,0.0,Support,F
23.08,0.0,Support,F
24.34,0.0,Support,F
23.28,0.0,Support,F
23.65,0.0,Support,F
21.32,0.0,Support,M
22.88,0.0,Support,F
23.33,0.0,Support,F
23.65,0.0,Support,F
22.09,0.0,Support,M
21.18,0.0,Support,M
23.7,0.0,Support,F
23.95,0.0,Support,F
20.07,0.0,Support,M
23.42,0.0,Support,F
21.51,0.0,Support,M
23.65,0.0,Support,M
23.1,0.0,Support,F
24.28,0.0,Support,F
21.39,0.0,Support,F
21.54,0.0,Support,F
23.59,0.0,Support,F
22.8,0.0,Support,F
21.84,0.0,Support,M
22.58,0.0,Support,F
24.62,0.0,Support,F
24.55,0.0,Support,F
23.69,0.0,Support,F
22.28,0.0,Support,F
22.73,0.0,Support,F
24.26,0.0,Support,F
22.66,0.0,Support,F
21.1,0.0,Support,F
22.94,0.0,Support,F
22.04,0.0,Support,F
23.25,0.0,Support,F
22.42,0.0,Support,F
21.21,0.0,Support,M
22.24,0.0,Support,F
23.07,0.0,Support,F
21.69,0.0,Support,M
23.41,0.0,Support,F
23.0,0.0,Support,F
23.92,0.0,Support,F
21.71,0.0,Support,M
23.0,0.0,Support,F
21.79,0.0,Support,M
23.3,0.0,Support,F
22.72,0.0,Support,F
21.35,0.0,Support,M
23.01,0.0,Support,F
24.79,0.0,Support,F
23.35,0.0,Support,F
22.9,0.0,Support,F
22.94,0.0,Support,F
22.0,0.0,Support,F
23.12,0.0,Support,F
20.88,0.0,Support,M
23.11,0.0,Support,F
22.67,0.0,Support,F
22.83,0.0,Support,F
22.67,0.0,Support,F
22.93,0.0,Support,F
22.72,0.0,Support,F
22.76,0.0,Support,F
21.8,0.0,Support,M
22.94,0.0,Support,F
22.89,0.0,Support,F
22.21,0.0,Support,F
21.95,0.0,Support,M
22.71,0.0,Support,F
23.86,0.0,Support,F
20.53,0.0,Support,M
23.24,0.0,Support,F
22.83,0.0,Support,F
21.61,0.0,Support,M
24.25,0.0,Support,F
23.44,0.0,Support,F
22.81,0.0,Support,F
21.51,0.0,Support,F
22.27,0.0,Support,F
21.81,0.0,Support,M
21.87,0.0,Support,M
22.05,0.0,Support,M
21.84,0.0,Support,M
20.76,0.0,Support,F
23.32,0.0,Support,F
22.93,0.0,Support,F
23.12,0.0,Support,F
24.81,0.0,Support,F
23.42,0.0,Support,F
21.09,0.0,Support,M
22.39,0.0,Support,F
24.23,0.0,Support,F
20.47,0.0,Support,M
21.65,0.0,Support,M
22.52,0.0,Support,F
22.96,0.0,Support,F
23.34,0.0,Support,F
23.58,0.0,Support,F
24.41,0.0,Support,F
22.35,0.0,Support,F
24.17,0.0,Support,F
21.16,0.0,Support,M
22.05,0.0,Support,F
22.76,0.0,Support,F
23.84,0.0,Support,F
23.05,0.0,Support,F
20.73,0.0,Support,M
23.54,0.0,Support,F
22.93,0.0,Support,F
23.69,0.0,Support,F
20.28,0.0,Support,M
24.22,0.0,Support,F
23.46,0.0,Support,F
22.1,0.0,Support,F
21.52,0.0,Support,M
20.85,0.0,Support,M
23.06,0.0,Support,F
21.05,0.0,Support,M
23.11,0.0,Support,F
22.16,0.0,Support,F
19.97,0.0,Support,M
21.41,0.0,Support,M
21.33,0.0,Support,M
22.93,0.0,Support,F
23.07,0.0,Support,F
21.37,0.0,Support,M
24.22,0.0,Support,F
21.97,0.0,Support,M
22.2,0.0,Support,F
21.53,0.0,Support,F
21.53,0.0,Support,M
22.72,0.0,Support,F
23.13,0.0,Support,F
22.66,0.0,Support,F
21.64,0.0,Support,F
22.02,0.0,Support,M
19.36,0.0,Support,M
23.83,0.0,Support,F
23.87,0.0,Support,F
21.44,0.0,Support,M
22.46,0.0,Support,F
23.96,0.0,Support,F
24.71,0.0,Support,F
22.64,0.0,Support,F
22.52,0.0,Support,F
22.58,0.0,Support,F
24.75,0.0,Support,F
22.94,0.0,Support,F
23.56,0.0,Support,F
24.0,0.0,Support,F
22.38,0.0,Support,F
22.12,0.0,Support,F
20.86,0.0,Support,M
24.55,0.0,Support,F
22.61,0.0,Support,F
22.74,0.0,Support,F
23.78,0.0,Support,F
20.27,0.0,Support,M
20.81,0.0,Support,M
22.62,0.0,Support,F
21.57,0.0,Support,M
22.63,0.0,Support,F
23.18,0.0,Support,F
23.32,0.0,Support,F
20.87,0.0,Support,M
22.95,0.0,Support,F
23.01,0.0,Support,F
22.22,0.0,Support,F
21.3,0.0,Support,M
23.23,0.0,Support,M
23.56,0.0,Support,F
23.63,0.0,Support,F
20.8,0.0,Support,M
22.54,0.0,Support,F
20.73,0.0,Support,M
20.88,0.0,Support,M
22.83,0.0,Support,F
20.72,0.0,Support,M
21.62,0.0,Support,F
23.03,0.0,Support,F
22.08,0.0,Support,F
21.88,0.0,Support,M
22.33,0.0,Support,F
20.88,0.0,Support,M
23.74,0.0,Support,F
20.34,0.0,Support,M
24.87,0.0,Support,F
20.14,0.0,Support,M
23.38,0.0,Support,F
22.44,0.0,Support,M
23.9,0.0,Support,F
24.21,0.0,Support,F
20.98,0.0,Support,M
21.0,0.0,Support,M
22.99,0.0,Support,F
21.38,0.0,Support,F
20.92,0.0,Support,M
24.38,0.0,Support,F
19.7,0.0,Support,M
21.1,0.0,Support,M
24.42,0.0,Support,F
21.42,0.0,Support,M
22.13,0.0,Support,F
21.98,0.0,Support,F
23.16,0.0,Support,F
23.61,0.0,Support,F
22.83,0.0,Support,F
22.4,0.0,Support,F
21.87,0.0,Support,F
21.18,0.0,Support,M
23.74,0.0,Support,F
23.58,0.0,Support,F
20.28,0.0,Support,M
22.4,0.0,Support,F
23.05,0.0,Support,F
23.54,0.0,Support,F
22.67,0.0,Support,F
22.26,0.0,Support,M
23.06,0.0,Support,F
23.17,0.0,Support,F
23.23,0.0,Support,F
22.28,0.0,Support,F
21.0,0.0,Support,M
21.85,0.0,Support,F
23.38,0.0,Support,F
19.56,0.0,Support,M
22.39,0.0,Support,F
23.88,0.0,Support,F
20.07,0.0,Support,M
22.39,0.0,Support,F
22.77,0.0,Support,F
22.7,0.0,Support,F
21.79,0.0,Support,M
23.17,0.0,Support,F
21.37,0.0,Support,M
21.01,0.0,Support,M
23.46,0.0,Support,F
22.26,0.0,Support,M
23.46,0.0,Support,F
20.48,0.0,Support,M
23.36,0.0,Support,F
23.16,0.0,Support,F
22.78,0.0,Support,F
20.37,0.0,Support,M
20.92,0.0,Support,M
21.53,0.0,Support,M
20.75,0.0,Support,M
20.74,0.0,Support,M
25.0,0.0,Support,F
23.75,0.0,Support,F
23.28,0.0,Support,F
22.88,0.0,Support,F
23.44,0.0,Support,F
21.6,0.0,Support,M
21.62,0.0,Support,M
21.88,0.0,Support,F
22.09,0.0,Support,F
20.45,0.0,Support,M
23.64,0.0,Support,F
20.29,0.0,Support,M
23.17,0.0,Support,F
22.36,0.0,Support,F
22.12,0.0,Support,M
22.69,0.0,Support,F
21.71,0.0,Support,M
21.62,0.0,Support,F
22.32,0.0,Support,F
22.67,0.0,Support,F
23.37,0.0,Support,F
23.78,0.0,Support,F
23.62,0.0,Support,F
21.27,0.0,Support,M
21.8,0.0,Support,F
22.93,0.0,Support,F
23.17,0.0,Support,F
22.97,0.0,Support,F
20.22,0.0,Support,M
23.25,0.0,Support,F
19.6,0.0,Support,M
21.66,0.0,Support,M
22.67,0.0,Support,F
22.08,0.0,Support,F
23.41,0.0,Support,F
23.55,0.0,Support,F
23.11,0.0,Support,F
22.92,0.0,Support,F
22.81,0.0,Support,F
22.84,0.0,Support,F
21.75,0.0,Support,M
21.37,0.0,Support,M
22.46,0.0,Support,F
22.57,0.0,Support,F
22.7,0.0,Support,F
23.68,0.0,Support,F
21.17,0.0,Support,F
22.48,0.0,Support,F
20.78,0.0,Support,M
20.6,0.0,Support,M
21.33,0.0,Support,F
20.51,0.0,Support,M
22.11,0.0,Support,F
23.54,0.0,Support,F
21.69,0.0,Support,M
22.49,0.0,Support,F
21.63,0.0,Support,F
22.15,0.0,Support,F
22.96,0.0,Support,F
23.24,0.0,Support,F
21.21,0.0,Support,M
24.01,0.0,Support,F
21.97,0.0,Support,M
23.62,0.0,Support,F
21.12,0.0,Support,M
22.14,0.0,Support,F
22.89,0.0,Support,F
22.72,0.0,Support,F
23.51,0.0,Support,F
22.84,0.0,Support,F
20.45,0.0,Support,M
22.39,0.0,Support,F
23.13,0.0,Support,F
24.45,0.0,Support,F
22.05,0.0,Support,F
23.38,0.0,Support,F
23.01,0.0,Support,F
22.38,0.0,Support,F
21.52,0.0,Support,F
21.19,0.0,Support,M
22.04,0.0,Support,M
23.82,0.0,Support,F
21.32,0.0,Support,M
22.96,0.0,Support,F
24.03,0.0,Support,F
20.08,0.0,Support,M
20.57,0.0,Support,M
22.71,0.0,Support,F
22.93,0.0,Support,F
23.03,0.0,Support,F
20.86,0.0,Support,M
24.57,0.0,Support,F
22.56,0.0,Support,M
22.48,0.0,Support,F
22.66,0.0,Support,F
23.25,0.0,Support,F
23.31,0.0,Support,F
22.26,0.0,Support,F
21.0,0.0,Support,M
22.57,0.0,Support,F
23.75,0.0,Support,F
21.74,0.0,Support,F
22.95,0.0,Support,F
23.44,0.0,Support,F
21.19,0.0,Support,F
22.46,0.0,Support,F
22.65,0.0,Support,F
20.75,0.0,Support,M
21.86,0.0,Support,M
23.04,0.0,Support,F
23.53,0.0,Support,F
21.31,0.0,Support,M
23.4,0.0,Support,F
19.86,0.0,Support,M
20.94,0.0,Support,M
24.45,0.0,Support,F
22.61,0.0,Support,F
20.2,0.0,Support,M
21.19,0.0,Support,M
22.06,0.0,Support,F
20.73,0.0,Support,M
23.04,0.0,Support,F
22.63,0.0,Support,F
23.51,0.0,Support,F
22.27,0.0,Support,F
22.64,0.0,Support,F
23.28,0.0,Support,F
22.63,0.0,Support,F
23.76,0.0,Support,F
24.14,0.0,Support,F
24.22,0.0,Support,F
22.93,0.0,Support,F
20.64,0.0,Support,M
23.83,0.0,Support,F
23.09,0.0,Support,F
20.89,0.0,Support,M
23.21,0.0,Support,F
22.49,0.0,Support,F
24.84,0.0,Support,F
22.35,0.0,Support,F
24.42,0.0,Support,F
21.66,0.0,Support,F
23.44,0.0,Support,F
22.46,0.0,Support,F
22.0,0.0,Support,F
22.6,0.0,Support,F
20.63,0.0,Support,M
19.67,0.0,Support,M
23.38,0.0,Support,F
22.25,0.0,Support,F
21.61,0.0,Support,F
19.48,0.0,Support,M
24.02,0.0,Support,F
22.97,0.0,Support,F
22.75,0.0,Support,F
22.37,0.0,Support,F
22.85,0.0,Support,F
22.67,0.0,Support,F
22.03,0.0,Support,M
24.31,0.0,Support,F
22.7,0.0,Support,F
23.06,0.0,Support,F
21.87,0.0,Support,M
20.66,0.0,Support,M
22.87,0.0,Support,F
23.76,0.0,Support,F
23.07,0.0,Support,F
23.12,0.0,Support,F
21.76,0.0,Support,F
23.82,0.0,Sales,M
27.97,0.0,Sales,F
27.78,0.0,Sales,M
26.18,0.0,Sales,M
26.46,0.0,Sales,M
25.81,0.0,Sales,M
26.07,0.0,Sales,M
27.78,0.0,Sales,F
26.37,0.0,Sales,M
26.97,0.0,Sales,F
27.85,0.0,Sales,F
24.75,0.0,Sales,M
26.66,0.0,Sales,F
28.26,0.0,Sales,F
26.03,0.0,Sales,M
24.68,0.0,Sales,M
25.94,0.0,Sales,M
26.37,0.0,Sales,M
26.72,0.0,Sales,M
28.6,0.0,Sales,F
26.47,0.0,Sales,M
25.7,0.0,Sales,M
28.11,0.0,Sales,F
29.44,0.0,Sales,F
26.33,0.0,Sales,M
27.89,0.0,Sales,F
27.21,0.0,Sales,F
26.41,0.0,Sales,M
26.36,0.0,Sales,M
26.43,0.0,Sales,M
27.97,0.0,Sales,F
26.87,0.0,Sales,M
26.41,0.0,Sales,M
27.29,0.0,Sales,M
26.0,0.0,Sales,M
25.64,0.0,Sales,M
27.87,0.0,Sales,F
26.91,0.0,Sales,M
25.55,0.0,Sales,M
28.34,0.0,Sales,F
27.78,0.0,Sales,F
24.82,0.0,Sales,M
28.07,0.0,Sales,F
25.73,0.0,Sales,M
27.49,0.0,Sales,F
26.22,0.0,Sales,F
28.37,0.0,Sales,F
25.97,0.0,Sales,M
27.8,0.0,Sales,F
28.75,0.0,Sales,F
28.68,0.0,Sales,F
29.0,0.0,Sales,F
26.44,0.0,Sales,M
27.51,0.0,Sales,F
27.3,0.0,Sales,F
27.8,0.0,Sales,F
27.35,0.0,Sales,M
24.96,0.0,Sales,M
25.76,0.0,Sales,M
28.74,0.0,Sales,F
26.22,0.0,Sales,M
26.27,0.0,Sales,M
28.4,0.0,Sales,F
25.89,0.0,Sales,M
28.1,0.0,Sales,F
26.0,0.0,Sales,M
26.27,0.0,Sales,M
26.7,0.0,Sales,M
26.02,0.0,Sales,M
27.44,0.0,Sales,F
27.55,0.0,Sales,F
28.57,0.0,Sales,F
26.07,0.0,Sales,M
27.87,0.0,Sales,F
28.07,0.0,Sales,F
25.22,0.0,Sales,M
29.49,0.0,Sales,F
27.24,0.0,Sales,F
26.54,0.0,Sales,M
28.9,0.0,Sales,F
28.06,0.0,Sales,F
25.51,0.0,Sales,M
29.09,0.0,Sales,F
26.22,0.0,Sales,M
25.48,0.0,Sales,M
26.33,0.0,Sales,M
24.98,0.0,Sales,M
25.8,0.0,Sales,M
25.18,0.0,Sales,M
25.49,0.0,Sales,M
26.99,0.0,Sales,M
28.6,0.0,Sales,F
28.69,0.0,Sales,F
25.73,0.0,Sales,M
27.85,0.0,Sales,M
28.26,0.0,Sales,F
26.88,0.0,Sales,F
25.94,0.0,Sales,M
28.48,0.0,Sales,F
26.04,0.0,Sales,M
25.52,0.0,Sales,M
26.17,0.0,Sales,M
26.44,0.0,Sales,M
27.96,0.0,Sales,F
28.3,0.0,Sales,F
27.36,0.0,Sales,M
25.91,0.0,Sales,M
29.08,0.0,Sales,F
25.92,0.0,Sales,M
26.53,0.0,Sales,M
26.83,0.0,Sales,M
25.33,0.0,Sales,M
27.7,0.0,Sales,F
28.46,0.0,Sales,F
27.51,0.0,Sales,F
28.07,0.0,Sales,F
26.95,0.0,Sales,F
28.94,0.0,Sales,F
25.53,0.0,Sales,M
26.48,0.0,Sales,M
24.89,0.0,Sales,M
26.69,0.0,Sales,M
26.52,0.0,Sales,F
25.43,0.0,Sales,M
24.91,0.0,Sales,M
26.3,0.0,Sales,M
27.01,0.0,Sales,M
28.52,0.0,Sales,F
26.31,0.0,Sales,M
28.93,0.0,Sales,F
26.96,0.0,Sales,M
25.98,0.0,Sales,M
28.68,0.0,Sales,F
26.62,0.0,Sales,M
25.07,0.0,Sales,M
27.66,0.0,Sales,F
25.19,0.0,Sales,M
29.52,0.0,Sales,F
27.44,0.0,Sales,F
28.55,0.0,Sales,F
25.76,0.0,Sales,M
26.45,0.0,Sales,M
25.85,0.0,Sales,M
27.96,0.0,Sales,F
26.39,0.0,Sales,M
28.38,0.0,Sales,F
28.27,0.0,Sales,F
29.53,0.0,Sales,F
26.31,0.0,Sales,M
28.4,0.0,Sales,F
28.64,0.0,Sales,F
24.36,0.0,Sales,M
26.16,0.0,Sales,M
26.2,0.0,Sales,M
27.72,0.0,Sales,F
25.79,0.0,Sales,M
25.43,0.0,Sales,M
25.64,0.0,Sales,M
27.31,0.0,Sales,F
28.2,0.0,Sales,F
27.7,0.0,Sales,F
26.12,0.0,Sales,M
29.27,0.0,Sales,F
28.77,0.0,Sales,F
25.85,0.0,Sales,M
26.36,0.0,Sales,M
28.28,0.0,Sales,F
27.22,0.0,Sales,F
28.44,0.0,Sales,F
28.96,0.0,Sales,F
28.83,0.0,Sales,F
26.32,0.0,Sales,M
25.71,0.0,Sales,M
26.24,0.0,Sales,M
26.4,0.0,Sales,M
27.85,0.0,Sales,F
27.62,0.0,Sales,M
26.93,0.0,Sales,F
26.43,0.0,Sales,M
25.43,0.0,Sales,M
28.75,0.0,Sales,F
26.98,0.0,Sales,M
27.87,0.0,Sales,F
28.72,0.0,Sales,F
28.5,0.0,Sales,F
27.46,0.0,Sales,F
26.59,0.0,Sales,M
25.52,0.0,Sales,M
26.74,0.0,Sales,M
28.29,0.0,Sales,F
26.88,0.0,Sales,F
25.64,0.0,Sales,M
28.32,0.0,Sales,F
27.78,0.0,Sales,F
24.86,0.0,Sales,M
26.03,0.0,Sales,M
27.03,0.0,Sales,F
26.22,0.0,Sales,M
25.9,0.0,Sales,M
26.36,0.0,Sales,M
25.99,0.0,Sales,M
27.7,0.0,Sales,F
28.89,0.0,Sales,F
28.16,0.0,Sales,F
27.37,0.0,Sales,F
26.56,0.0,Sales,M
26.18,0.0,Sales,M
26.74,0.0,Sales,M
25.94,0.0,Sales,M
26.15,0.0,Sales,M
27.99,0.0,Sales,F
25.84,0.0,Sales,M
26.32,0.0,Sales,M
26.8,0.0,Sales,M
28.34,0.0,Sales,F
27.44,0.0,Sales,F
25.57,0.0,Sales,M
27.99,0.0,Sales,F
27.74,0.0,Sales,F
28.51,0.0,Sales,F
27.6,0.0,Sales,F
26.57,0.0,Sales,F
28.2,0.0,Sales,F
26.33,0.0,Sales,M
26.84,0.0,Sales,F
24.88,0.0,Sales,M
25.96,0.0,Sales,M
28.4,0.0,Sales,F
25.75,0.0,Sales,M
27.32,0.0,Sales,M
26.12,0.0,Sales,M
26.94,0.0,Sales,M
27.23,0.0,Sales,M
27.23,0.0,Sales,F
26.23,0.0,Sales,M
27.87,0.0,Sales,F
27.66,0.0,Sales,F
28.19,0.0,Sales,F
25.04,0.0,Sales,M
26.08,0.0,Sales,M
27.32,0.0,Sales,F
26.78,0.0,Sales,M
25.69,0.0,Sales,M
26.37,0.0,Sales,M
27.44,0.0,Sales,M
28.27,0.0,Sales,F
28.2,0.0,Sales,F
25.98,0.0,Sales,M
24.87,0.0,Sales,M
26.56,0.0,Sales,F
26.63,0.0,Sales,M
26.79,0.0,Sales,M
26.63,0.0,Sales,M
29.0,0.0,Sales,F
26.75,0.0,Sales,M
26.07,0.0,Sales,M
27.87,0.0,Sales,F
26.15,0.0,Sales,F
24.86,0.0,Sales,M
25.24,0.0,Sales,M
28.96,0.0,Sales,F
26.43,0.0,Sales,M
26.52,0.0,Sales,M
26.37,0.0,Sales,M
25.42,0.0,Sales,M
25.56,0.0,Sales,M
25.42,0.0,Sales,M
27.61,0.0,Sales,F
25.6,0.0,Sales,M
25.19,0.0,Sales,M
28.04,0.0,Sales,F
27.53,0.0,Sales,F
24.62,0.0,Sales,M
25.08,0.0,Sales,M
26.6,0.0,Sales,M
26.56,0.0,Sales,M
28.51,0.0,Sales,F
26.61,0.0,Sales,M
