Page_total_likes,Type,Category,Month,Weekday,Hour,Paid,Reach,Consumers,Num_Comments,Num_Likes,Num_Shares
137177,Photo,3,11,6,10,0.0,5990,361,18,370.0,53.0
137177,Photo,1,11,6,3,0.0,4582,306,5,190.0,57.0
137177,Photo,3,11,5,10,1.0,2938,243,2,101.0,19.0
137177,Status,3,11,5,2,0.0,6692,108,2,99.0,16.0
137177,Photo,1,11,4,9,1.0,2566,280,10,140.0,8.0
137177,Link,1,11,4,3,0.0,21176,228,2,130.0,31.0
137177,Photo,3,11,3,10,0.0,4012,319,3,270.0,38.0
137177,Photo,1,11,3,3,0.0,1531,189,3,30.0,6.0
137059,Photo,1,11,2,11,1.0,2938,283,2,107.0,17.0
137059,Photo,1,11,2,3,0.0,24720,564,13,331.0,77.0
137059,Photo,2,11,1,9,0.0,2219,220,0,78.0,13.0
137059,Photo,3,11,1,3,0.0,4732,352,9,301.0,32.0
137059,Photo,3,11,7,9,0.0,2225,216,2,111.0,16.0
137059,Photo,2,11,7,4,0.0,2626,213,2,124.0,22.0
137059,Photo,3,10,6,10,0.0,3090,257,5,153.0,27.0
137059,Photo,1,10,6,3,0.0,1101,287,3,51.0,11.0
137059,Photo,2,10,5,11,0.0,2819,218,1,115.0,26.0
137020,Status,2,10,5,3,1.0,12468,1966,7,310.0,61.0
137020,Photo,1,10,4,10,0.0,12776,539,12,328.0,90.0
137020,Photo,1,10,4,9,1.0,1357,37,0,0.0,0.0
137020,Photo,2,10,4,3,0.0,68896,1326,26,1505.0,95.0
137020,Photo,3,10,3,10,0.0,1711,245,2,63.0,14.0
137020,Photo,1,10,3,4,0.0,1388,219,0,13.0,4.0
137020,Photo,1,10,2,11,1.0,2645,315,4,59.0,9.0
137020,Photo,1,10,2,4,0.0,70144,2628,42,955.0,139.0
137020,Photo,3,10,1,11,0.0,3674,330,9,181.0,32.0
136736,Status,2,10,1,4,0.0,9504,1032,17,193.0,28.0
136736,Photo,3,10,7,9,0.0,2426,237,7,125.0,16.0
136736,Status,2,10,7,3,0.0,13872,2570,4,217.0,50.0
136736,Photo,1,10,6,10,0.0,1673,324,2,28.0,4.0
136736,Photo,2,10,6,4,0.0,2428,238,4,117.0,18.0
136642,Photo,2,10,1,3,1.0,2227,314,2,79.0,16.0
136642,Photo,1,10,7,13,0.0,1592,356,0,15.0,2.0
136642,Photo,1,10,7,12,1.0,813,319,0,4.0,2.0
136642,Photo,1,10,7,12,0.0,32208,1490,1,431.0,26.0
136642,Photo,1,10,7,11,0.0,729,298,0,7.0,0.0
136642,Photo,1,10,7,10,0.0,834,392,0,7.0,2.0
136393,Photo,1,10,7,10,0.0,786,257,0,6.0,2.0
136393,Status,2,10,7,9,0.0,15816,2654,6,186.0,40.0
136393,Photo,1,10,7,8,0.0,619,254,1,1.0,2.0
136393,Photo,1,10,7,7,0.0,617,223,1,3.0,2.0
136393,Photo,1,10,7,5,0.0,677,228,0,7.0,2.0
136393,Photo,3,10,7,3,0.0,3366,345,3,198.0,41.0
136393,Photo,1,10,6,13,0.0,747,220,0,9.0,1.0
136393,Photo,1,10,6,13,0.0,645,192,0,4.0,1.0
136393,Photo,1,10,6,12,0.0,754,205,0,3.0,0.0
136393,Photo,1,10,6,11,0.0,910,201,0,8.0,2.0
136393,Photo,1,10,6,9,0.0,3906,863,0,7.0,3.0
136393,Photo,1,10,6,9,0.0,659,194,1,7.0,2.0
136393,Photo,1,10,6,8,0.0,652,206,0,11.0,1.0
136393,Photo,1,10,6,6,0.0,861,192,2,28.0,4.0
136393,Photo,1,10,6,2,0.0,3690,388,0,56.0,12.0
136393,Link,1,10,5,10,0.0,4664,182,0,32.0,16.0
136013,Photo,1,10,5,8,0.0,1080,189,4,32.0,3.0
136013,Status,2,10,5,3,0.0,8896,1426,0,129.0,25.0
136013,Photo,1,10,4,10,1.0,4018,374,4,77.0,19.0
136013,Link,1,10,4,3,0.0,68992,975,15,143.0,44.0
136013,Status,3,10,3,10,0.0,13152,2438,2,227.0,36.0
136013,Status,2,10,3,2,1.0,31136,5934,60,859.0,90.0
136013,Photo,3,10,2,10,1.0,16776,440,10,377.0,60.0
136013,Photo,1,10,2,3,1.0,50736,1450,3,41.0,9.0
136013,Photo,1,10,1,10,1.0,5324,483,6,76.0,14.0
136013,Photo,3,10,1,3,0.0,18120,282,0,189.0,15.0
135713,Photo,3,10,7,10,0.0,2291,243,0,80.0,14.0
135713,Status,2,10,7,4,0.0,10744,1877,3,148.0,28.0
135713,Link,1,10,6,11,1.0,3616,90,0,24.0,11.0
135713,Photo,1,10,6,4,0.0,39984,1921,24,302.0,41.0
135713,Photo,2,10,5,11,0.0,4010,370,2,166.0,32.0
135713,Photo,2,10,5,4,1.0,6564,602,47,358.0,49.0
135713,Photo,1,10,4,10,0.0,8612,727,7,161.0,25.0
135713,Photo,2,10,4,1,0.0,5568,545,13,319.0,55.0
135700,Photo,2,9,3,7,0.0,1685,295,0,54.0,16.0
135700,Photo,2,9,2,11,0.0,3756,408,16,117.0,30.0
135700,Photo,3,9,2,2,0.0,2656,309,1,115.0,21.0
135700,Photo,2,9,1,10,0.0,5086,509,30,187.0,35.0
135617,Photo,2,9,1,3,1.0,2055,288,1,84.0,13.0
135617,Photo,3,9,7,9,0.0,9384,452,6,363.0,40.0
135617,Photo,2,9,7,3,0.0,3992,447,6,244.0,32.0
135617,Photo,3,9,6,10,0.0,7512,614,22,290.0,98.0
135617,Status,2,9,6,4,0.0,11096,1724,4,243.0,41.0
135428,Photo,2,9,5,3,1.0,2790,360,0,113.0,19.0
135428,Photo,1,9,4,10,1.0,13856,450,2,77.0,5.0
135428,Photo,3,9,4,2,1.0,10748,498,8,485.0,64.0
135428,Photo,1,9,3,10,0.0,41984,2420,144,1622.0,208.0
135428,Photo,2,9,3,2,1.0,2522,390,6,99.0,16.0
135195,Photo,3,9,2,9,0.0,4480,430,3,188.0,26.0
135195,Photo,1,9,2,2,0.0,1543,334,2,30.0,6.0
135195,Status,2,9,1,10,0.0,21256,4754,38,163.0,27.0
135195,Photo,1,9,1,4,0.0,4484,424,6,179.0,40.0
135195,Photo,2,9,7,3,0.0,4398,446,5,204.0,34.0
135195,Status,2,9,6,10,1.0,13216,2584,2,165.0,22.0
135195,Photo,3,9,6,3,1.0,22304,984,29,1047.0,98.0
135195,Photo,1,9,5,11,0.0,6208,473,2,234.0,40.0
135195,Photo,2,9,5,2,0.0,4518,482,7,250.0,42.0
135195,Photo,2,9,4,10,0.0,3582,430,4,154.0,36.0
134879,Status,2,9,4,4,1.0,9124,1397,20,150.0,29.0
134879,Photo,1,9,3,10,0.0,14152,549,4,102.0,8.0
134879,Photo,3,9,3,2,1.0,4260,435,1,226.0,44.0
134879,Video,1,9,2,10,0.0,30624,1956,6,345.0,121.0
134879,Photo,2,9,2,3,0.0,2363,348,11,68.0,11.0
134879,Photo,1,9,1,10,0.0,2232,335,0,62.0,10.0
134879,Photo,2,9,1,6,0.0,4048,405,5,223.0,35.0
134879,Photo,2,9,7,10,0.0,1804,280,0,61.0,6.0
134879,Photo,3,9,7,4,1.0,2351,298,1,104.0,12.0
133679,Photo,2,9,2,10,0.0,3100,422,3,146.0,15.0
133679,Photo,3,9,2,3,1.0,2360,365,2,102.0,15.0
133679,Photo,3,8,1,10,0.0,19648,695,9,766.0,43.0
133679,Photo,2,8,1,4,0.0,2295,324,0,63.0,7.0
133594,Photo,2,8,7,10,1.0,3934,437,3,113.0,17.0
133594,Photo,1,8,7,3,0.0,34512,1333,6,442.0,42.0
133594,Photo,2,8,6,10,0.0,5282,530,9,278.0,43.0
133594,Photo,1,8,6,8,0.0,1809,359,2,64.0,7.0
133594,Photo,2,8,5,13,0.0,1920,331,1,52.0,7.0
133451,Photo,1,8,4,9,1.0,1954,333,0,30.0,2.0
132817,Photo,3,8,4,10,0.0,33536,1016,33,1155.0,102.0
132817,Photo,2,8,4,3,1.0,4204,408,2,139.0,25.0
132817,Photo,1,8,3,9,0.0,3376,409,0,40.0,5.0
132817,Status,2,8,3,2,1.0,9236,1130,2,53.0,15.0
132817,Photo,3,8,2,10,0.0,72864,759,4,220.0,19.0
132817,Photo,3,8,2,3,0.0,3358,323,2,114.0,16.0
132201,Photo,1,8,1,12,1.0,3254,344,0,39.0,3.0
132201,Photo,1,8,1,3,0.0,50640,1577,4,859.0,68.0
132201,Photo,2,8,7,10,0.0,3734,434,5,137.0,20.0
132201,Photo,3,8,7,3,0.0,2594,315,1,54.0,11.0
132201,Photo,2,8,6,10,1.0,2232,322,2,74.0,22.0
132201,Photo,3,8,6,3,1.0,22120,906,6,98.0,3.0
132201,Photo,3,8,5,10,0.0,7980,398,2,264.0,21.0
132201,Photo,2,8,5,1,0.0,1659,321,3,36.0,11.0
132201,Photo,3,8,4,11,1.0,1006,268,1,11.0,3.0
132201,Photo,3,8,4,3,1.0,12728,461,4,435.0,31.0
131956,Photo,1,8,3,10,0.0,28880,991,2,114.0,10.0
131956,Photo,2,8,3,4,0.0,1330,351,2,17.0,9.0
131956,Status,2,8,2,12,0.0,14424,286,41,15.0,1.0
131956,Photo,1,8,2,7,0.0,14200,1354,3,87.0,10.0
131956,Photo,3,8,1,12,0.0,5746,632,16,227.0,28.0
131956,Photo,2,8,1,4,0.0,2540,330,2,86.0,8.0
131956,Photo,3,8,7,10,0.0,4324,431,6,179.0,27.0
131808,Status,2,8,7,4,0.0,8260,953,1,74.0,11.0
131808,Status,2,8,6,10,1.0,20168,3244,18,332.0,54.0
131808,Photo,1,8,6,6,0.0,5046,477,2,80.0,21.0
131808,Status,2,7,5,14,0.0,15296,2781,9,95.0,17.0
131728,Photo,3,7,5,8,1.0,3414,342,3,188.0,26.0
131728,Photo,1,7,4,10,1.0,95424,575,6,109.0,11.0
131728,Photo,2,7,4,3,0.0,14824,591,64,367.0,25.0
131630,Photo,2,7,3,13,0.0,3504,374,9,102.0,19.0
131630,Photo,3,7,2,23,0.0,2822,351,2,113.0,20.0
131630,Photo,3,7,2,13,0.0,2973,297,0,94.0,20.0
131630,Status,2,7,2,6,1.0,10824,126,6,14.0,1.0
131630,Photo,1,7,1,11,0.0,4592,289,1,43.0,10.0
131630,Photo,2,7,1,5,0.0,3176,319,1,98.0,21.0
131300,Status,2,7,7,10,0.0,10956,119,3,13.0,1.0
131300,Photo,3,7,7,4,0.0,10888,783,12,237.0,45.0
131300,Photo,2,7,6,10,0.0,3594,354,4,112.0,23.0
131300,Photo,1,7,6,2,0.0,3384,395,2,101.0,25.0
130791,Photo,2,7,5,11,1.0,4096,406,10,145.0,31.0
130791,Photo,3,7,5,3,0.0,19968,592,6,535.0,83.0
130791,Photo,1,7,4,11,0.0,4892,460,4,118.0,22.0
130791,Status,2,7,4,6,0.0,17360,2448,9,484.0,79.0
130791,Video,1,7,3,11,1.0,21872,3822,18,315.0,76.0
130791,Photo,2,7,3,5,1.0,180480,4010,372,5172.0,790.0
130791,Photo,1,7,2,13,0.0,44464,930,4,154.0,30.0
130791,Photo,2,7,2,8,0.0,2881,503,0,73.0,15.0
129600,Photo,2,7,1,12,0.0,3460,482,0,96.0,19.0
129600,Photo,3,7,1,6,0.0,3406,512,1,98.0,19.0
129600,Photo,2,7,7,11,1.0,2602,444,1,53.0,14.0
129600,Photo,1,7,7,6,1.0,5848,570,4,71.0,10.0
129600,Photo,1,7,6,11,0.0,26944,740,6,194.0,34.0
129600,Photo,3,7,6,5,0.0,5292,646,6,226.0,42.0
129600,Status,2,7,5,12,1.0,15576,2327,11,238.0,51.0
129600,Photo,3,7,5,3,0.0,54256,963,10,755.0,58.0
129600,Photo,2,7,4,12,1.0,3726,574,30,47.0,8.0
129600,Photo,1,7,4,6,1.0,31904,770,2,126.0,32.0
129600,Photo,1,7,3,13,1.0,40336,1330,4,104.0,10.0
129600,Photo,2,7,3,1,0.0,4220,597,10,167.0,26.0
129600,Photo,3,7,2,13,0.0,4666,648,9,152.0,41.0
129600,Photo,2,7,2,7,1.0,4274,638,0,128.0,15.0
129600,Photo,1,7,1,13,0.0,28208,827,13,234.0,43.0
128032,Photo,2,7,1,3,0.0,3330,478,2,61.0,16.0
128032,Photo,2,7,7,11,1.0,3528,513,0,66.0,9.0
128032,Photo,3,7,7,3,0.0,38576,890,7,529.0,60.0
128032,Photo,3,7,6,13,1.0,2628,503,3,42.0,10.0
128032,Photo,1,7,6,3,0.0,7232,700,2,75.0,24.0
128032,Status,2,7,5,10,0.0,10188,1441,13,61.0,13.0
128032,Photo,1,7,5,3,0.0,6408,861,26,162.0,7.0
128032,Photo,1,7,4,9,1.0,3414,493,2,47.0,4.0
128032,Photo,2,7,4,5,1.0,53056,1412,6,696.0,28.0
128032,Photo,1,7,3,10,1.0,66976,1054,7,215.0,47.0
127082,Photo,1,7,3,3,1.0,76096,2495,22,534.0,31.0
126424,Photo,3,7,4,12,0.0,5458,933,1,143.0,27.0
126424,Photo,2,7,4,3,0.0,3706,884,18,46.0,7.0
126424,Status,2,7,3,13,0.0,18320,3682,36,98.0,14.0
126424,Photo,3,7,3,4,1.0,2316,716,0,25.0,5.0
126424,Video,1,6,2,13,0.0,139008,1643,23,204.0,44.0
126345,Photo,1,6,2,9,1.0,5854,947,11,202.0,5.0
126345,Photo,1,6,2,3,0.0,109056,2457,7,148.0,39.0
126345,Photo,2,6,1,12,0.0,3212,720,1,40.0,8.0
126345,Photo,2,6,1,4,0.0,3046,872,1,71.0,17.0
126345,Status,2,6,7,11,0.0,12044,2193,0,104.0,13.0
126141,Photo,1,6,7,4,1.0,9652,1381,1,34.0,4.0
126141,Photo,1,6,6,12,0.0,28112,1537,11,129.0,12.0
126141,Status,2,6,6,4,0.0,8628,843,4,72.0,18.0
126141,Photo,1,6,5,11,1.0,2431,383,0,15.0,3.0
126141,Photo,1,6,4,22,1.0,20560,860,14,102.0,9.0
126141,Photo,1,6,4,12,0.0,20896,1038,103,469.0,33.0
125612,Photo,1,6,4,11,0.0,2402,145,5,57.0,5.0
125612,Photo,1,6,4,7,0.0,1729,591,0,23.0,2.0
125612,Photo,2,6,4,3,0.0,4320,681,5,141.0,26.0
125612,Photo,1,6,3,11,0.0,2585,560,0,19.0,5.0
125612,Photo,2,6,3,3,0.0,3322,569,1,71.0,23.0
125612,Photo,1,6,2,13,0.0,3600,656,0,72.0,21.0
125612,Photo,1,6,2,2,0.0,11620,1138,5,54.0,7.0
125612,Photo,3,6,1,14,0.0,4248,671,5,93.0,19.0
125612,Photo,3,6,1,3,0.0,2763,523,0,62.0,10.0
125612,Photo,2,6,7,11,0.0,3558,568,0,78.0,16.0
124940,Photo,1,6,7,4,0.0,8324,834,0,14.0,1.0
124940,Photo,2,6,6,9,0.0,6952,779,11,231.0,43.0
124940,Photo,3,6,6,2,1.0,2823,503,1,72.0,16.0
124940,Photo,1,6,5,13,1.0,63840,1229,9,197.0,28.0
124940,Photo,3,6,5,3,1.0,11608,705,4,330.0,29.0
124940,Photo,1,6,4,12,0.0,58304,715,0,148.0,7.0
124940,Photo,3,6,4,2,0.0,4762,725,2,208.0,28.0
124940,Photo,2,6,3,13,0.0,6150,676,12,148.0,28.0
124940,Photo,3,6,3,3,1.0,4644,683,4,154.0,26.0
124940,Photo,3,6,2,13,0.0,22464,934,3,142.0,18.0
124940,Photo,3,6,2,3,0.0,3754,730,8,107.0,20.0
124940,Photo,1,6,1,13,0.0,4452,658,0,22.0,3.0
124940,Photo,3,6,1,3,0.0,3576,618,2,84.0,13.0
124940,Photo,3,6,7,10,0.0,3028,548,2,59.0,12.0
124940,Photo,3,6,7,3,1.0,4022,616,3,65.0,14.0
124940,Photo,1,6,6,12,1.0,52736,1622,0,24.0,4.0
124940,Photo,3,6,6,4,0.0,47376,1426,9,186.0,23.0
123047,Photo,3,6,5,12,0.0,3234,724,0,58.0,17.0
123047,Photo,2,6,5,3,0.0,3322,656,2,74.0,14.0
123047,Photo,3,6,4,13,0.0,6768,672,2,180.0,44.0
123047,Photo,2,6,4,5,1.0,11304,1065,18,168.0,49.0
123047,Photo,1,6,3,11,0.0,13544,733,0,36.0,5.0
123047,Photo,3,6,2,13,0.0,3418,546,2,51.0,6.0
123047,Photo,3,6,2,5,1.0,3662,522,2,67.0,14.0
123047,Photo,3,6,1,10,0.0,56672,1334,20,1372.0,47.0
123047,Photo,3,6,1,3,1.0,3294,488,2,57.0,6.0
121540,Photo,3,6,1,3,0.0,3110,712,2,33.0,10.0
121540,Photo,2,5,7,14,0.0,3806,658,1,79.0,17.0
120050,Photo,3,5,5,9,1.0,3776,529,3,97.0,22.0
120050,Photo,3,5,4,12,0.0,39040,1183,16,617.0,58.0
120050,Photo,3,5,4,4,1.0,4032,607,7,139.0,34.0
120050,Photo,3,5,3,12,0.0,21248,918,20,199.0,32.0
119198,Photo,3,5,3,5,0.0,4344,626,1,107.0,26.0
119198,Photo,3,5,2,12,0.0,2718,528,0,50.0,10.0
119198,Photo,3,5,2,1,0.0,3024,560,0,64.0,20.0
119198,Status,2,5,1,2,0.0,10152,1599,2,55.0,10.0
119198,Photo,2,5,7,2,0.0,4708,594,1,142.0,37.0
119198,Photo,3,5,6,14,0.0,2772,479,2,72.0,9.0
119198,Photo,3,5,6,6,0.0,2812,485,4,79.0,16.0
119198,Photo,3,5,5,10,1.0,6460,706,25,244.0,44.0
117764,Photo,1,5,4,10,0.0,18056,875,25,307.0,58.0
117764,Photo,3,5,4,4,0.0,5016,569,6,212.0,36.0
117764,Photo,3,5,3,11,0.0,3528,415,2,95.0,17.0
117764,Photo,2,5,2,11,0.0,6444,625,5,194.0,33.0
117764,Photo,3,5,1,13,1.0,4458,432,6,101.0,29.0
117764,Link,1,5,1,2,0.0,12540,322,3,46.0,14.0
117764,Photo,3,5,7,13,1.0,4362,509,3,156.0,20.0
117764,Photo,3,5,7,2,0.0,38960,1702,37,821.0,90.0
117764,Photo,3,5,6,13,0.0,3144,356,1,58.0,13.0
117764,Photo,3,5,6,8,1.0,4336,484,12,155.0,23.0
117764,Photo,3,5,5,13,0.0,81856,1637,45,1639.0,122.0
116435,Photo,2,5,5,9,0.0,5728,587,3,155.0,32.0
116435,Photo,3,5,4,13,1.0,5490,555,4,166.0,33.0
116435,Status,1,5,4,3,1.0,23832,1570,6,210.0,39.0
116435,Photo,3,5,3,7,0.0,18552,676,4,400.0,25.0
116435,Photo,2,5,2,14,0.0,4132,495,2,98.0,18.0
116435,Photo,1,5,2,8,0.0,4910,561,12,138.0,38.0
116435,Photo,3,5,1,13,0.0,4202,481,3,148.0,16.0
116091,Photo,2,5,1,3,0.0,5976,544,2,267.0,40.0
116091,Photo,2,5,7,14,0.0,5206,492,1,144.0,29.0
116091,Photo,3,5,7,2,0.0,6984,631,25,256.0,54.0
116091,Photo,1,5,6,9,0.0,6000,539,3,72.0,24.0
116091,Photo,3,5,6,3,0.0,3332,406,0,87.0,18.0
116091,Status,2,5,5,7,0.0,9232,861,1,129.0,36.0
115893,Photo,3,4,4,15,1.0,5212,642,1,179.0,30.0
115893,Photo,1,4,3,13,0.0,24264,1485,9,194.0,33.0
115368,Photo,3,4,3,8,0.0,4280,555,1,124.0,32.0
115368,Photo,3,4,2,13,0.0,6692,742,4,304.0,47.0
115368,Photo,3,4,2,2,1.0,5594,670,12,138.0,39.0
115368,Photo,1,4,1,2,0.0,11336,547,4,41.0,9.0
113028,Photo,2,4,7,3,1.0,5582,620,2,163.0,35.0
113028,Photo,1,4,6,14,0.0,28352,1242,45,407.0,76.0
113028,Status,2,4,6,3,1.0,17912,2567,17,447.0,123.0
113028,Link,1,4,5,7,1.0,35360,325,7,38.0,11.0
113028,Photo,1,4,5,5,0.0,9084,916,2,93.0,26.0
113028,Photo,1,4,4,12,1.0,6880,639,0,59.0,16.0
111620,Photo,3,4,4,7,1.0,12824,623,0,286.0,30.0
111620,Photo,3,4,3,7,0.0,6596,526,0,66.0,13.0
111620,Photo,3,4,2,13,1.0,7492,713,8,236.0,51.0
111620,Photo,1,4,2,6,1.0,44288,1105,2,152.0,11.0
111620,Photo,3,4,1,14,1.0,105632,2254,51,1998.0,128.0
111620,Photo,1,4,7,14,0.0,128064,1408,8,186.0,18.0
109670,Photo,3,4,6,20,0.0,5994,838,11,235.0,34.0
109670,Photo,1,4,6,13,0.0,6172,684,1,64.0,22.0
109670,Photo,3,4,6,3,0.0,4986,614,2,92.0,28.0
109670,Photo,1,4,5,13,0.0,6668,642,3,53.0,13.0
109670,Photo,3,4,5,7,1.0,5298,575,5,140.0,38.0
109670,Photo,1,4,4,3,0.0,35008,597,0,48.0,8.0
109670,Photo,1,4,3,13,1.0,5402,633,0,112.0,14.0
109670,Photo,1,4,3,8,0.0,9880,497,0,35.0,5.0
109670,Photo,1,4,2,13,0.0,3334,565,4,37.0,3.0
109670,Photo,3,4,2,2,1.0,3130,495,0,48.0,14.0
109670,Photo,2,4,1,13,1.0,32208,1367,6,766.0,109.0
109670,Photo,1,4,1,2,0.0,20920,642,1,96.0,18.0
109670,Photo,3,4,7,14,0.0,3884,483,1,57.0,13.0
107907,Photo,3,4,7,13,0.0,4240,542,3,114.0,21.0
107907,Photo,1,4,6,9,0.0,3544,482,1,51.0,6.0
107907,Photo,3,4,6,3,1.0,3286,458,1,87.0,27.0
107907,Photo,1,4,5,9,0.0,71360,1732,5,81.0,11.0
107907,Photo,3,4,5,3,0.0,3824,627,1,71.0,18.0
107907,Photo,3,4,4,13,0.0,6360,631,9,164.0,52.0
107907,Photo,3,4,4,5,1.0,3714,481,5,91.0,26.0
107907,Photo,1,4,3,13,1.0,46192,1096,9,329.0,38.0
107907,Photo,1,4,3,4,1.0,39568,652,4,128.0,17.0
107907,Link,1,4,2,6,0.0,70912,1106,1,379.0,40.0
107907,Photo,3,4,1,3,0.0,4552,444,1,52.0,24.0
107907,Photo,3,4,7,10,0.0,4390,453,1,63.0,26.0
107907,Photo,3,4,7,3,0.0,4770,455,2,97.0,25.0
106928,Photo,3,4,6,9,1.0,2970,390,2,56.0,9.0
106928,Link,1,4,6,4,0.0,34192,322,1,36.0,7.0
106928,Photo,2,4,5,13,0.0,5302,566,4,138.0,26.0
106928,Photo,2,4,5,3,0.0,5560,586,7,142.0,24.0
