Unnamed: 0,year,pay,department,gender
157,1970,19.66,Support,M
158,1970,21.66,Support,F
159,1970,22.62,Support,F
160,1970,19.1,Support,M
161,1970,22.45,Support,F
162,1970,20.94,Support,F
163,1970,20.59,Support,F
164,1970,22.96,Support,M
165,1970,21.78,Support,M
166,1970,21.88,Support,F
167,1970,24.35,Support,F
168,1970,23.26,Support,F
169,1970,22.65,Support,F
170,1970,21.54,Support,F
171,1970,22.8,Support,F
172,1970,21.45,Support,M
173,1970,20.97,Support,M
174,1970,21.01,Support,F
175,1970,19.16,Support,M
176,1970,23.54,Support,F
177,1970,20.75,Support,F
178,1970,22.95,Support,F
179,1970,21.12,Support,F
180,1970,19.43,Support,M
181,1970,18.78,Support,F
182,1970,21.39,Support,F
183,1970,22.31,Support,F
184,1970,21.23,Support,M
185,1970,26.86,Support,F
186,1970,21.6,Support,M
187,1970,21.66,Support,F
188,1970,21.54,Support,F
189,1970,21.06,Support,M
190,1970,21.49,Support,M
191,1970,23.85,Support,F
192,1970,25.65,Support,F
193,1970,18.43,Support,M
194,1970,17.58,Support,M
195,1970,20.51,Support,F
196,1970,24.77,Support,F
197,1970,21.6,Support,M
198,1970,25.01,Support,F
199,1970,21.31,Support,F
200,1970,23.61,Support,F
201,1970,22.58,Support,F
202,1970,20.59,Support,F
203,1970,24.75,Support,F
204,1970,19.77,Support,M
205,1970,20.3,Support,F
206,1970,21.53,Support,M
207,1970,19.43,Support,F
208,1970,21.88,Support,F
209,1970,23.15,Support,M
210,1970,20.47,Support,F
211,1970,20.88,Support,F
212,1970,22.03,Support,F
213,1970,23.94,Support,F
214,1970,23.96,Support,F
215,1970,22.67,Support,F
216,1970,24.14,Support,F
217,1970,22.84,Support,F
218,1970,24.52,Support,F
219,1970,23.25,Support,M
220,1970,21.66,Support,F
221,1970,22.91,Support,F
222,1970,22.12,Support,F
223,1970,23.93,Support,M
224,1970,23.67,Support,F
225,1970,23.24,Support,F
226,1970,20.71,Support,F
227,1970,25.68,Support,F
228,1970,25.15,Support,F
229,1970,23.29,Support,F
230,1970,18.24,Support,F
231,1970,22.46,Support,F
232,1970,24.77,Support,F
233,1970,25.27,Support,F
234,1970,24.3,Support,M
235,1970,23.55,Support,F
236,1970,21.7,Support,F
237,1970,26.35,Support,F
238,1970,26.19,Support,F
239,1970,18.35,Support,F
240,1970,22.1,Support,M
241,1970,25.88,Support,F
242,1970,24.41,Support,F
243,1970,20.78,Support,F
244,1970,24.18,Support,F
245,1970,24.72,Support,F
246,1970,23.2,Support,F
247,1970,19.41,Support,F
248,1970,20.51,Support,F
249,1970,24.3,Support,M
250,1970,28.04,Support,F
251,1970,24.71,Support,F
252,1970,23.36,Support,F
253,1970,23.29,Support,F
254,1970,26.41,Support,F
255,1970,21.6,Support,M
256,1970,19.81,Support,F
257,1970,25.42,Support,F
258,1970,22.0,Support,F
259,1970,22.49,Support,F
260,1970,21.56,Support,M
261,1970,22.23,Support,F
262,1970,23.01,Support,F
263,1970,22.6,Support,F
264,1970,22.39,Support,F
265,1970,22.49,Support,F
266,1970,23.75,Support,F
267,1970,20.98,Support,M
268,1970,23.71,Support,F
269,1970,22.82,Support,F
270,1970,27.89,Support,F
271,1970,23.8,Support,F
272,1970,26.06,Support,F
273,1970,19.43,Support,M
274,1970,21.41,Support,F
275,1970,25.95,Support,F
276,1970,20.79,Support,M
277,1970,19.73,Support,F
278,1970,20.8,Support,M
279,1970,22.38,Support,M
280,1970,28.1,Support,F
281,1970,21.78,Support,M
282,1970,23.34,Support,M
283,1970,26.21,Support,F
284,1970,17.46,Support,M
285,1970,19.21,Support,M
286,1970,25.08,Support,M
287,1970,20.8,Support,F
288,1970,21.12,Support,F
289,1970,22.56,Support,F
290,1970,25.4,Support,F
291,1970,17.99,Support,M
292,1970,20.42,Support,F
293,1970,22.93,Support,M
294,1970,19.53,Support,M
295,1970,22.91,Support,F
296,1970,26.2,Support,F
297,1970,24.47,Support,F
298,1970,20.48,Support,F
299,1970,17.86,Support,M
300,1970,26.32,Support,F
301,1970,20.65,Support,F
302,1970,22.4,Support,F
303,1970,19.2,Support,M
304,1970,21.83,Support,F
305,1970,23.59,Support,F
306,1970,22.62,Support,M
307,1970,22.82,Support,M
308,1970,24.19,Support,F
309,1970,19.63,Support,F
310,1970,20.08,Support,F
311,1970,25.75,Support,F
312,1970,19.51,Support,M
313,1970,23.74,Support,F
314,1970,19.03,Support,F
315,1970,23.39,Support,F
316,1970,24.53,Support,F
317,1970,19.61,Support,F
318,1970,29.01,Support,F
319,1970,20.73,Support,F
320,1970,27.23,Support,F
321,1970,19.77,Support,F
322,1970,22.67,Support,F
323,1970,25.81,Support,F
324,1970,25.76,Support,F
325,1970,24.23,Support,F
326,1970,21.07,Support,F
327,1970,22.57,Support,F
328,1970,20.7,Support,F
329,1970,17.369999999999994,Support,F
330,1970,26.2,Support,F
331,1970,20.85,Support,F
332,1970,23.44,Support,F
333,1970,19.27,Support,M
334,1970,20.41,Support,M
335,1970,21.67,Support,F
336,1970,20.4,Support,F
337,1970,26.45,Support,F
338,1970,20.37,Support,F
339,1970,25.35,Support,F
340,1970,19.46,Support,M
341,1970,23.6,Support,F
342,1970,22.51,Support,F
343,1970,25.69,Support,F
344,1970,22.64,Support,F
345,1970,27.63,Support,F
346,1970,21.65,Support,F
347,1970,23.27,Support,M
348,1970,20.07,Support,F
349,1970,22.98,Support,F
350,1970,22.69,Support,F
351,1970,22.1,Support,F
352,1970,23.96,Support,F
353,1970,23.49,Support,F
354,1970,23.73,Support,F
355,1970,20.77,Support,M
356,1970,22.22,Support,F
357,1970,24.46,Support,F
358,1970,22.96,Support,F
359,1970,22.23,Support,F
360,1970,23.34,Support,M
361,1970,27.78,Support,F
362,1970,23.64,Support,M
363,1970,21.39,Support,F
364,1970,25.88,Support,F
365,1970,22.59,Support,F
366,1970,20.41,Support,M
367,1970,17.23,Support,F
368,1970,24.64,Support,F
369,1970,20.82,Support,F
370,1970,20.51,Support,F
371,1970,18.57,Support,M
372,1970,22.73,Support,F
373,1970,19.84,Support,F
374,1970,19.66,Support,F
375,1970,18.73,Support,F
376,1970,23.11,Support,F
377,1970,23.15,Support,F
378,1970,24.03,Support,F
379,1970,22.08,Support,F
380,1970,23.6,Support,F
381,1970,24.25,Support,F
382,1970,20.33,Support,F
383,1970,20.39,Support,M
384,1970,23.41,Support,F
385,1970,23.34,Support,F
386,1970,25.66,Support,F
387,1970,24.98,Support,F
388,1970,24.83,Support,M
389,1970,25.15,Support,F
390,1970,21.51,Support,F
391,1970,21.64,Support,F
392,1970,22.89,Support,F
393,1970,20.04,Support,M
394,1970,20.94,Support,F
395,1970,24.61,Support,M
396,1970,19.96,Support,F
397,1970,19.27,Support,F
398,1970,17.310000000000002,Support,F
399,1970,21.11,Support,F
400,1970,24.65,Support,M
401,1970,21.51,Support,M
402,1970,23.39,Support,F
403,1970,19.26,Support,F
404,1970,15.03,Support,M
405,1970,24.95,Support,M
406,1970,19.62,Support,M
407,1970,22.76,Support,F
408,1970,26.31,Support,F
409,1970,24.53,Support,F
410,1970,21.22,Support,M
411,1970,20.84,Support,F
412,1970,22.27,Support,F
413,1970,23.22,Support,F
414,1970,19.97,Support,M
415,1970,24.17,Support,F
416,1970,22.0,Support,F
417,1970,21.34,Support,F
418,1970,20.84,Support,M
419,1970,22.32,Support,F
420,1970,23.49,Support,F
421,1970,24.1,Support,F
422,1970,29.11,Support,F
423,1970,22.28,Support,M
424,1970,23.13,Support,F
425,1970,19.94,Support,M
426,1970,23.13,Support,M
427,1970,19.82,Support,M
428,1970,18.68,Support,M
429,1970,18.37,Support,M
430,1970,22.58,Support,F
431,1970,17.96,Support,F
432,1970,22.58,Support,F
433,1970,21.56,Support,F
434,1970,25.7,Support,M
435,1970,20.12,Support,M
436,1970,21.51,Support,F
437,1970,21.91,Support,F
438,1970,25.99,Support,M
439,1970,23.54,Support,F
440,1970,22.47,Support,M
441,1970,21.32,Support,F
442,1970,22.02,Support,F
443,1970,18.32,Support,M
444,1970,19.64,Support,M
445,1970,22.0,Support,M
446,1970,25.27,Support,F
447,1970,22.4,Support,F
448,1970,25.71,Support,F
449,1970,21.83,Support,M
450,1970,21.5,Support,F
451,1970,25.55,Support,F
452,1970,22.49,Support,F
453,1970,21.38,Support,F
454,1970,22.3,Support,F
455,1970,25.03,Support,F
456,1970,22.49,Support,F
457,1970,20.05,Support,M
458,1970,19.16,Support,M
459,1970,21.95,Support,M
460,1970,20.63,Support,F
461,1970,23.96,Support,F
462,1970,21.54,Support,F
463,1970,20.81,Support,F
464,1970,21.34,Support,F
465,1970,20.24,Support,F
466,1970,23.45,Support,F
467,1970,19.3,Support,M
468,1970,21.06,Support,M
469,1970,21.8,Support,M
470,1970,20.78,Support,F
471,1970,23.95,Support,F
472,1970,22.43,Support,F
473,1970,16.67,Support,F
474,1970,21.71,Support,F
475,1970,23.4,Support,F
476,1970,21.24,Support,M
477,1970,21.54,Support,M
478,1970,24.18,Support,F
479,1970,21.71,Support,F
480,1970,23.64,Support,F
481,1970,23.9,Support,F
482,1970,20.66,Support,M
483,1970,22.08,Support,F
484,1970,17.880000000000006,Support,F
485,1970,22.38,Support,F
486,1970,25.29,Support,F
487,1970,23.7,Support,F
488,1970,21.4,Support,F
489,1970,23.33,Support,F
490,1970,20.05,Support,F
491,1970,21.41,Support,F
492,1970,19.68,Support,F
493,1970,24.1,Support,F
494,1970,26.19,Support,F
495,1970,22.96,Support,M
496,1970,21.13,Support,M
497,1970,21.92,Support,F
498,1970,21.53,Support,M
499,1970,21.86,Support,M
500,1970,21.43,Support,M
501,1970,26.95,Support,F
502,1970,21.82,Support,F
503,1970,20.78,Support,F
504,1970,23.33,Support,F
505,1970,20.96,Support,F
506,1970,18.47,Support,F
507,1970,16.97,Support,M
508,1970,19.13,Support,M
509,1970,20.98,Support,F
510,1970,22.38,Support,F
511,1970,22.74,Support,M
512,1970,23.94,Support,F
513,1970,23.73,Support,F
514,1970,17.83,Support,M
515,1970,21.45,Support,F
516,1970,20.39,Support,F
517,1970,19.68,Support,M
518,1970,25.08,Support,F
519,1970,22.16,Support,F
520,1970,21.39,Support,F
521,1970,23.26,Support,F
522,1970,20.44,Support,F
523,1970,25.13,Support,F
524,1970,22.34,Support,F
525,1970,24.82,Support,F
526,1970,23.78,Support,F
527,1970,23.25,Support,F
528,1970,23.07,Support,F
529,1970,22.37,Support,F
530,1970,23.65,Support,F
531,1970,22.14,Support,F
532,1970,21.46,Support,F
533,1970,19.56,Support,F
534,1970,25.09,Support,F
535,1970,25.99,Support,F
536,1970,18.94,Support,M
537,1970,22.84,Support,F
538,1970,18.92,Support,M
539,1970,22.44,Support,M
540,1970,23.81,Support,F
541,1970,23.92,Support,F
542,1970,25.32,Support,F
543,1970,24.24,Support,F
544,1970,21.69,Support,M
545,1970,22.39,Support,F
546,1970,22.37,Support,F
547,1970,24.58,Support,F
548,1970,27.58,Support,F
549,1970,23.43,Support,F
550,1970,20.56,Support,F
551,1970,21.5,Support,M
552,1970,21.04,Support,M
553,1970,21.33,Support,F
554,1970,24.73,Support,F
555,1970,22.4,Support,F
556,1970,22.53,Support,M
557,1970,24.17,Support,F
558,1970,25.29,Support,F
559,1970,21.28,Support,F
560,1970,20.26,Support,M
561,1970,23.75,Support,F
562,1970,24.48,Support,F
563,1970,20.98,Support,M
564,1970,25.3,Support,F
565,1970,21.26,Support,F
566,1970,19.93,Support,F
567,1970,24.83,Support,M
568,1970,23.62,Support,M
569,1970,23.82,Support,M
570,1970,22.9,Support,F
571,1970,23.19,Support,M
572,1970,21.92,Support,F
573,1970,24.81,Support,F
574,1970,24.11,Support,F
575,1970,24.09,Support,F
576,1970,20.75,Support,M
577,1970,23.14,Support,F
578,1970,22.54,Support,F
579,1970,26.53,Support,F
580,1970,25.11,Support,F
581,1970,20.78,Support,F
582,1970,23.71,Support,F
583,1970,21.89,Support,F
584,1970,20.37,Support,F
585,1970,20.44,Support,M
586,1970,22.43,Support,M
587,1970,26.04,Support,F
588,1970,23.63,Support,F
589,1970,24.76,Support,F
590,1970,24.05,Support,F
591,1970,19.76,Support,M
592,1970,22.93,Support,F
593,1970,24.62,Support,F
594,1970,24.47,Support,F
595,1970,21.93,Support,M
596,1970,24.6,Support,F
597,1970,18.72,Support,M
598,1970,23.42,Support,M
599,1970,22.9,Support,F
600,1970,21.74,Support,F
601,1970,19.47,Support,M
602,1970,20.9,Support,F
603,1970,23.73,Support,F
604,1970,21.63,Support,F
605,1970,19.31,Support,F
606,1970,24.19,Support,F
607,1970,23.87,Support,M
608,1970,21.76,Support,F
609,1970,26.91,Support,F
610,1970,21.55,Support,F
611,1970,24.36,Support,F
612,1970,18.71,Support,M
613,1970,25.5,Support,F
614,1970,19.01,Support,M
615,1970,24.01,Support,F
616,1970,22.1,Support,F
617,1970,22.46,Support,F
618,1970,20.48,Support,M
619,1970,24.38,Support,F
620,1970,25.06,Support,F
621,1970,25.9,Support,F
622,1970,19.64,Support,M
623,1970,20.22,Support,F
624,1970,19.71,Support,F
625,1970,20.21,Support,F
626,1970,22.9,Support,F
627,1970,25.89,Support,F
628,1970,22.83,Support,F
629,1970,23.63,Support,F
630,1970,20.87,Support,F
631,1970,18.32,Support,F
632,1970,24.67,Support,F
633,1970,23.92,Support,F
634,1970,23.86,Support,F
635,1970,22.06,Support,F
636,1970,20.34,Support,F
637,1970,18.4,Support,M
638,1970,29.16,Support,F
639,1970,20.48,Support,F
640,1970,20.52,Support,F
641,1970,22.49,Support,F
642,1970,26.01,Support,M
643,1970,21.22,Support,M
644,1970,21.18,Support,F
645,1970,19.1,Support,M
646,1970,20.61,Support,F
647,1970,22.66,Support,F
648,1970,21.4,Support,F
649,1970,27.15,Support,F
650,1970,25.49,Support,F
651,1970,22.14,Support,F
652,1970,23.17,Support,F
653,1970,25.38,Support,F
654,1970,19.5,Support,M
655,1970,17.56,Support,M
656,1970,19.4,Support,F
657,1970,25.53,Support,F
658,1970,22.33,Support,M
659,1970,24.0,Support,F
660,1970,20.58,Support,M
661,1970,25.04,Support,F
662,1970,23.41,Support,F
663,1970,25.55,Support,F
664,1970,22.06,Support,F
665,1970,21.33,Support,M
666,1970,21.62,Support,F
667,1970,22.1,Support,F
668,1970,24.53,Support,F
669,1970,23.47,Support,F
670,1970,23.44,Support,F
671,1970,20.72,Support,F
672,1970,21.39,Support,M
673,1970,24.28,Support,F
674,1970,23.88,Support,F
675,1970,22.63,Support,F
676,1970,22.49,Support,F
677,1970,24.66,Support,F
678,1970,23.44,Support,F
679,1970,17.56,Support,M
680,1970,21.91,Support,F
681,1970,22.78,Support,M
682,1970,24.53,Support,F
683,1970,20.38,Support,M
684,1970,25.07,Support,F
685,1970,23.91,Support,M
686,1970,22.7,Support,F
687,1970,24.22,Support,M
688,1970,20.19,Support,F
689,1970,21.52,Support,M
690,1970,20.66,Support,M
691,1970,21.74,Support,F
692,1970,20.5,Support,F
693,1970,19.77,Support,F
694,1970,17.8,Support,M
695,1970,23.21,Support,F
696,1970,20.22,Support,F
697,1970,22.03,Support,F
698,1970,25.34,Support,F
699,1970,19.61,Support,M
700,1970,21.77,Support,F
701,1970,25.72,Support,F
702,1970,21.62,Support,F
703,1970,24.14,Support,F
704,1970,19.74,Support,M
705,1970,21.82,Support,F
706,1970,20.48,Support,F
707,1970,21.3,Support,F
708,1970,22.96,Support,F
709,1970,23.05,Support,F
710,1970,22.95,Support,F
711,1970,25.61,Support,F
712,1970,20.69,Support,F
713,1970,22.42,Support,F
714,1970,17.76,Support,M
715,1970,22.14,Support,M
716,1970,22.69,Support,M
717,1970,22.7,Support,F
718,1970,23.69,Support,F
719,1970,22.04,Support,F
720,1970,19.85,Support,M
721,1970,21.65,Support,M
722,1970,21.03,Support,F
723,1970,23.09,Support,F
724,1970,23.22,Support,F
725,1970,22.31,Support,F
726,1970,23.41,Support,F
727,1970,23.35,Support,F
728,1970,24.61,Support,F
729,1970,22.32,Support,F
730,1970,18.91,Support,M
731,1970,23.67,Support,F
732,1970,23.91,Support,F
733,1970,23.76,Support,M
734,1970,23.22,Support,F
735,1970,20.94,Support,F
736,1970,24.59,Support,F
737,1970,19.52,Support,F
738,1970,20.76,Support,M
739,1970,20.95,Support,F
740,1970,22.49,Support,F
741,1970,24.07,Support,F
742,1970,25.43,Support,F
743,1970,22.77,Support,F
744,1970,19.79,Support,F
745,1970,24.25,Support,F
746,1970,19.92,Support,M
747,1970,22.21,Support,F
748,1970,23.91,Support,F
749,1970,21.62,Support,F
750,1970,24.21,Support,F
751,1970,20.13,Support,M
752,1970,23.24,Support,F
753,1970,19.47,Support,M
754,1970,22.04,Support,F
755,1970,21.52,Support,F
756,1970,18.49,Support,M
757,1970,22.89,Support,F
758,1970,22.55,Support,F
759,1970,25.38,Support,F
760,1970,23.15,Support,F
761,1970,17.96,Support,M
762,1970,22.77,Support,F
763,1970,22.74,Support,M
764,1970,21.2,Support,F
765,1970,23.64,Support,F
766,1970,21.28,Support,F
767,1970,20.49,Support,M
768,1970,21.78,Support,M
769,1970,18.48,Support,F
770,1970,19.73,Support,M
771,1970,17.43,Support,M
772,1970,19.3,Support,F
773,1970,24.86,Support,F
774,1970,24.07,Support,F
775,1970,25.78,Sales,M
776,1970,24.04,Sales,M
777,1970,27.99,Sales,M
778,1970,27.51,Sales,M
779,1970,29.55,Sales,F
780,1970,25.3,Sales,M
781,1970,31.39,Sales,F
782,1970,29.21,Sales,F
783,1970,26.51,Sales,M
784,1970,25.31,Sales,M
785,1970,29.87,Sales,F
786,1970,29.56,Sales,F
787,1970,27.57,Sales,M
788,1970,29.39,Sales,F
789,1970,20.35,Sales,M
790,1970,26.45,Sales,M
791,1970,26.55,Sales,M
792,1970,22.75,Sales,M
793,1970,26.73,Sales,F
794,1970,23.39,Sales,M
795,1970,26.03,Sales,F
796,1970,30.68,Sales,F
797,1970,29.1,Sales,M
798,1970,26.03,Sales,M
799,1970,28.49,Sales,M
800,1970,24.4,Sales,M
801,1970,25.66,Sales,M
802,1970,24.55,Sales,M
803,1970,25.78,Sales,M
804,1970,24.81,Sales,M
805,1970,27.68,Sales,M
806,1970,29.32,Sales,F
807,1970,25.03,Sales,F
808,1970,25.02,Sales,M
809,1970,25.75,Sales,F
810,1970,29.46,Sales,F
811,1970,24.21,Sales,M
812,1970,25.08,Sales,M
813,1970,25.1,Sales,M
814,1970,27.49,Sales,M
815,1970,30.42,Sales,F
816,1970,28.02,Sales,F
817,1970,22.8,Sales,M
818,1970,27.0,Sales,F
819,1970,23.8,Sales,M
820,1970,25.08,Sales,M
821,1970,27.99,Sales,M
822,1970,25.61,Sales,M
823,1970,25.59,Sales,F
824,1970,26.35,Sales,F
825,1970,27.97,Sales,F
826,1970,26.76,Sales,F
827,1970,26.28,Sales,M
828,1970,26.53,Sales,M
829,1970,24.84,Sales,M
830,1970,29.04,Sales,M
831,1970,25.26,Sales,M
832,1970,28.22,Sales,F
833,1970,25.43,Sales,F
834,1970,24.8,Sales,M
835,1970,26.34,Sales,M
836,1970,29.92,Sales,M
837,1970,25.95,Sales,F
838,1970,27.54,Sales,M
839,1970,28.32,Sales,F
840,1970,29.11,Sales,F
841,1970,29.35,Sales,F
842,1970,28.03,Sales,M
843,1970,30.93,Sales,F
844,1970,26.54,Sales,M
845,1970,32.14,Sales,F
846,1970,26.77,Sales,M
847,1970,22.77,Sales,M
848,1970,26.79,Sales,F
849,1970,29.71,Sales,F
850,1970,31.95,Sales,F
851,1970,30.12,Sales,F
852,1970,28.03,Sales,M
853,1970,24.09,Sales,M
854,1970,27.13,Sales,F
855,1970,27.29,Sales,F
856,1970,25.65,Sales,M
857,1970,26.37,Sales,F
858,1970,24.87,Sales,M
859,1970,27.29,Sales,M
860,1970,26.86,Sales,F
861,1970,25.82,Sales,M
862,1970,25.32,Sales,F
863,1970,28.56,Sales,F
864,1970,31.19,Sales,F
865,1970,27.61,Sales,F
866,1970,30.59,Sales,M
867,1970,24.37,Sales,F
868,1970,27.41,Sales,M
869,1970,26.32,Sales,M
870,1970,28.39,Sales,F
871,1970,26.27,Sales,M
872,1970,27.2,Sales,M
873,1970,24.84,Sales,M
874,1970,27.92,Sales,F
875,1970,26.97,Sales,M
876,1970,28.48,Sales,M
877,1970,27.01,Sales,M
878,1970,30.22,Sales,F
879,1970,25.83,Sales,F
880,1970,25.8,Sales,F
881,1970,25.7,Sales,M
882,1970,26.35,Sales,M
883,1970,23.72,Sales,M
884,1970,25.61,Sales,M
885,1970,26.79,Sales,M
886,1970,28.67,Sales,F
887,1970,24.59,Sales,F
888,1970,23.14,Sales,M
889,1970,27.3,Sales,F
890,1970,27.24,Sales,M
891,1970,25.74,Sales,F
892,1970,25.85,Sales,M
893,1970,27.33,Sales,M
894,1970,28.5,Sales,M
895,1970,24.54,Sales,F
896,1970,31.24,Sales,F
897,1970,23.25,Sales,M
898,1970,24.93,Sales,M
899,1970,33.11,Sales,F
900,1970,28.15,Sales,F
901,1970,23.38,Sales,M
902,1970,28.1,Sales,F
903,1970,30.26,Sales,F
904,1970,26.95,Sales,M
905,1970,30.38,Sales,M
906,1970,23.47,Sales,M
907,1970,28.96,Sales,M
908,1970,27.58,Sales,M
909,1970,30.93,Sales,F
910,1970,28.24,Sales,M
911,1970,26.01,Sales,M
912,1970,25.55,Sales,F
913,1970,24.97,Sales,M
914,1970,23.47,Sales,M
915,1970,28.81,Sales,M
916,1970,28.25,Sales,M
917,1970,23.86,Sales,M
918,1970,28.96,Sales,F
919,1970,26.52,Sales,F
920,1970,29.95,Sales,F
921,1970,27.77,Sales,F
922,1970,23.71,Sales,M
923,1970,29.0,Sales,F
924,1970,26.96,Sales,F
925,1970,29.88,Sales,F
926,1970,28.51,Sales,M
927,1970,29.71,Sales,F
928,1970,27.27,Sales,F
929,1970,26.83,Sales,M
930,1970,29.06,Sales,M
931,1970,24.53,Sales,M
932,1970,25.95,Sales,M
933,1970,29.13,Sales,F
934,1970,26.49,Sales,M
935,1970,24.27,Sales,M
936,1970,27.38,Sales,F
937,1970,24.49,Sales,M
938,1970,27.32,Sales,F
939,1970,25.78,Sales,M
940,1970,24.06,Sales,M
941,1970,22.51,Sales,M
942,1970,26.58,Sales,F
943,1970,27.97,Sales,F
944,1970,26.11,Sales,M
945,1970,28.66,Sales,F
946,1970,31.66,Sales,F
947,1970,28.1,Sales,M
948,1970,24.83,Sales,M
949,1970,26.37,Sales,F
950,1970,29.52,Sales,F
951,1970,25.83,Sales,M
952,1970,25.87,Sales,M
953,1970,29.5,Sales,M
954,1970,30.73,Sales,M
955,1970,26.93,Sales,F
956,1970,28.09,Sales,F
957,1970,27.34,Sales,M
958,1970,30.55,Sales,F
959,1970,26.91,Sales,F
960,1970,26.97,Sales,F
961,1970,31.06,Sales,F
962,1970,29.01,Sales,F
963,1970,24.24,Sales,M
964,1970,31.36,Sales,F
965,1970,25.98,Sales,M
966,1970,24.1,Sales,M
967,1970,29.71,Sales,M
968,1970,28.74,Sales,M
969,1970,30.52,Sales,M
970,1970,22.98,Sales,F
971,1970,25.08,Sales,M
972,1970,28.96,Sales,F
973,1970,22.23,Sales,M
974,1970,24.41,Sales,M
975,1970,25.5,Sales,F
976,1970,27.27,Sales,F
977,1970,22.5,Sales,M
978,1970,25.57,Sales,M
979,1970,24.47,Sales,M
980,1970,25.29,Sales,M
