exporter,importer,sector,industry,year,trade
MEX,CAN,1,2,2010,0.045
USA,CAN,1,2,2010,156.743
MEX,CAN,1,2,2011,0.004
USA,CAN,1,2,2011,154.717
MEX,CAN,1,2,2012,0.002
USA,CAN,1,2,2012,155.286
USA,CAN,1,2,2013,161.64700000000002
MEX,CAN,1,2,2013,0.002
MEX,CAN,1,2,2014,0.004
USA,CAN,1,2,2014,176.822
USA,CAN,1,2,2015,154.025
MEX,CAN,1,2,2015,0.003
MEX,CAN,1,2,2016,0.003
USA,CAN,1,2,2016,143.726
USA,CAN,1,2,2017,142.665
MEX,CAN,1,2,2017,0.004
MEX,CAN,1,2,2018,0.009000000000000001
USA,CAN,1,2,2018,169.044
USA,CAN,1,2,2019,187.83599999999998
MEX,CAN,1,2,2019,0.012
MEX,MEX,1,2,2010,54.41
USA,MEX,1,2,2010,592.119
MEX,MEX,1,2,2011,52.592
USA,MEX,1,2,2011,638.325
MEX,MEX,1,2,2012,51.248999999999995
USA,MEX,1,2,2012,614.888
MEX,MEX,1,2,2013,55.095
USA,MEX,1,2,2013,693.693
MEX,MEX,1,2,2014,69.306
USA,MEX,1,2,2014,550.486
MEX,MEX,1,2,2015,53.464
USA,MEX,1,2,2015,465.71
MEX,MEX,1,2,2016,52.282
USA,MEX,1,2,2016,483.161
MEX,MEX,1,2,2017,57.806000000000004
USA,MEX,1,2,2017,517.2660000000002
CAN,MEX,1,2,2017,0.0
MEX,MEX,1,2,2018,51.537
USA,MEX,1,2,2018,497.733
USA,MEX,1,2,2019,707.914
MEX,MEX,1,2,2019,57.88399999999999
CAN,USA,1,2,2010,3.238
USA,USA,1,2,2010,2348.937
MEX,USA,1,2,2010,1.99
CAN,USA,1,2,2011,3.8369999999999997
MEX,USA,1,2,2011,1.202
USA,USA,1,2,2011,2130.786
MEX,USA,1,2,2012,0.8270000000000001
CAN,USA,1,2,2012,4.082
USA,USA,1,2,2012,2472.175
CAN,USA,1,2,2013,5.931
MEX,USA,1,2,2013,0.87
USA,USA,1,2,2013,2398.453
USA,USA,1,2,2014,2446.822
MEX,USA,1,2,2014,1.001
CAN,USA,1,2,2014,7.417999999999999
CAN,USA,1,2,2015,4.987
MEX,USA,1,2,2015,1.4180000000000001
USA,USA,1,2,2015,1776.993
MEX,USA,1,2,2016,1.8559999999999999
USA,USA,1,2,2016,1817.18
CAN,USA,1,2,2016,5.44
CAN,USA,1,2,2017,6.122000000000001
USA,USA,1,2,2017,1674.0929999999998
MEX,USA,1,2,2017,1.8319999999999999
USA,USA,1,2,2018,2342.74
MEX,USA,1,2,2018,1.4409999999999998
CAN,USA,1,2,2018,12.737
CAN,USA,1,2,2019,11.857999999999999
MEX,USA,1,2,2019,0.956
USA,USA,1,2,2019,1923.332
CAN,MEX,1,2,2011,0.0
CAN,MEX,1,2,2013,0.0
CAN,MEX,1,2,2010,0.0
CAN,MEX,1,2,2012,0.0
CAN,MEX,1,2,2015,0.0
CAN,MEX,1,2,2019,0.0
CAN,MEX,1,2,2018,0.0
CAN,MEX,1,2,2016,0.0
CAN,MEX,1,2,2014,0.0
CAN,CAN,1,3,2010,1786.9279999999999
USA,CAN,1,3,2010,331.88199999999995
MEX,CAN,1,3,2010,0.01
MEX,CAN,1,3,2011,0.01
CAN,CAN,1,3,2011,2257.304
USA,CAN,1,3,2011,332.731
CAN,CAN,1,3,2012,3083.823
USA,CAN,1,3,2012,301.28
MEX,CAN,1,3,2012,0.021
CAN,CAN,1,3,2013,2608.936
USA,CAN,1,3,2013,274.13599999999997
MEX,CAN,1,3,2013,0.071
CAN,CAN,1,3,2014,1433.9070000000002
MEX,CAN,1,3,2014,0.111
USA,CAN,1,3,2014,365.61800000000005
CAN,CAN,1,3,2015,1910.473
USA,CAN,1,3,2015,348.305
MEX,CAN,1,3,2015,0.08
USA,CAN,1,3,2016,287.781
CAN,CAN,1,3,2016,1684.213
MEX,CAN,1,3,2016,0.311
USA,CAN,1,3,2017,295.784
CAN,CAN,1,3,2017,1755.2520000000002
MEX,CAN,1,3,2017,0.16699999999999998
CAN,CAN,1,3,2018,1643.328
MEX,CAN,1,3,2018,0.11699999999999999
USA,CAN,1,3,2018,487.846
MEX,CAN,1,3,2019,0.662
USA,CAN,1,3,2019,509.077
CAN,CAN,1,3,2019,1823.444
USA,MEX,1,3,2010,1572.5770000000002
CAN,MEX,1,3,2010,0.149
MEX,MEX,1,3,2010,5078.655
CAN,MEX,1,3,2011,18.065
USA,MEX,1,3,2011,2632.1890000000003
MEX,MEX,1,3,2011,5738.625
CAN,MEX,1,3,2012,0.003
MEX,MEX,1,3,2012,6542.79
USA,MEX,1,3,2012,2586.4570000000003
CAN,MEX,1,3,2013,0.002
USA,MEX,1,3,2013,1876.011
MEX,MEX,1,3,2013,5606.885
CAN,MEX,1,3,2014,0.002
MEX,MEX,1,3,2014,5169.954000000001
USA,MEX,1,3,2014,2383.795
CAN,MEX,1,3,2015,0.005
MEX,MEX,1,3,2015,4973.771
USA,MEX,1,3,2015,2396.64
CAN,MEX,1,3,2016,9.269
USA,MEX,1,3,2016,2638.789
MEX,MEX,1,3,2016,4867.329000000001
CAN,MEX,1,3,2017,0.0
MEX,MEX,1,3,2017,4566.727
USA,MEX,1,3,2017,2730.739
USA,MEX,1,3,2018,3252.277
MEX,MEX,1,3,2018,5141.596
CAN,MEX,1,3,2018,0.0
MEX,MEX,1,3,2019,4951.542
USA,MEX,1,3,2019,2834.313
MEX,USA,1,3,2010,9.446
USA,USA,1,3,2010,53085.486
CAN,USA,1,3,2010,106.959
CAN,USA,1,3,2011,189.43400000000003
MEX,USA,1,3,2011,5.202000000000001
USA,USA,1,3,2011,61863.114
CAN,USA,1,3,2012,287.9
USA,USA,1,3,2012,62785.876
MEX,USA,1,3,2012,30.688000000000002
USA,USA,1,3,2013,54743.933
MEX,USA,1,3,2013,16.277
CAN,USA,1,3,2013,469.32300000000004
MEX,USA,1,3,2014,22.521
CAN,USA,1,3,2014,133.659
USA,USA,1,3,2014,40295.476
USA,USA,1,3,2015,39202.061
CAN,USA,1,3,2015,101.186
MEX,USA,1,3,2015,20.29
CAN,USA,1,3,2016,175.38
MEX,USA,1,3,2016,15.690999999999999
USA,USA,1,3,2016,43682.996
CAN,USA,1,3,2017,148.003
MEX,USA,1,3,2017,17.753
USA,USA,1,3,2017,38388.053
USA,USA,1,3,2018,37639.31
MEX,USA,1,3,2018,19.844
CAN,USA,1,3,2018,112.801
MEX,USA,1,3,2019,18.207
USA,USA,1,3,2019,43205.740999999995
CAN,USA,1,3,2019,82.551
CAN,MEX,1,3,2019,0.0
CAN,CAN,1,4,2010,801.221
MEX,CAN,1,4,2010,0.0
USA,CAN,1,4,2010,12.187999999999999
CAN,CAN,1,4,2011,1365.693
MEX,CAN,1,4,2011,0.057
USA,CAN,1,4,2011,20.187
MEX,CAN,1,4,2012,1.091
CAN,CAN,1,4,2012,1494.045
USA,CAN,1,4,2012,11.548
MEX,CAN,1,4,2013,0.068
USA,CAN,1,4,2013,13.175
CAN,CAN,1,4,2013,2397.706
MEX,CAN,1,4,2014,0.07400000000000001
CAN,CAN,1,4,2014,712.362
USA,CAN,1,4,2014,16.055
MEX,CAN,1,4,2015,0.026000000000000002
CAN,CAN,1,4,2015,1017.9630000000001
USA,CAN,1,4,2015,21.631
CAN,CAN,1,4,2016,1230.002
USA,CAN,1,4,2016,15.45
MEX,CAN,1,4,2016,0.174
MEX,CAN,1,4,2017,0.0
CAN,CAN,1,4,2017,959.128
USA,CAN,1,4,2017,28.545
CAN,CAN,1,4,2018,928.118
USA,CAN,1,4,2018,17.383
MEX,CAN,1,4,2018,0.013000000000000001
CAN,CAN,1,4,2019,1426.342
USA,CAN,1,4,2019,18.632
MEX,CAN,1,4,2019,0.0
USA,MEX,1,4,2010,446.324
CAN,MEX,1,4,2010,23.34
MEX,MEX,1,4,2010,1437.2910000000002
CAN,MEX,1,4,2011,61.876000000000005
MEX,MEX,1,4,2011,1943.505
USA,MEX,1,4,2011,699.683
CAN,MEX,1,4,2012,61.887
MEX,MEX,1,4,2012,2136.902
USA,MEX,1,4,2012,408.11400000000003
CAN,MEX,1,4,2013,36.681
USA,MEX,1,4,2013,320.559
MEX,MEX,1,4,2013,1637.825
CAN,MEX,1,4,2014,31.096999999999998
USA,MEX,1,4,2014,78.501
MEX,MEX,1,4,2014,1750.4720000000002
CAN,MEX,1,4,2015,35.629
MEX,MEX,1,4,2015,1180.34
USA,MEX,1,4,2015,142.739
USA,MEX,1,4,2016,160.934
MEX,MEX,1,4,2016,1069.0639999999999
CAN,MEX,1,4,2016,45.336999999999996
USA,MEX,1,4,2017,97.01899999999999
MEX,MEX,1,4,2017,1050.927
CAN,MEX,1,4,2017,21.386
MEX,MEX,1,4,2018,1091.955
USA,MEX,1,4,2018,66.697
CAN,MEX,1,4,2018,49.638999999999996
CAN,MEX,1,4,2019,51.233000000000004
USA,MEX,1,4,2019,165.327
MEX,MEX,1,4,2019,997.885
CAN,USA,1,4,2010,406.92900000000003
USA,USA,1,4,2010,1780.735
MEX,USA,1,4,2010,0.07200000000000001
CAN,USA,1,4,2011,505.44699999999995
MEX,USA,1,4,2011,0.113
USA,USA,1,4,2011,1255.5439999999999
MEX,USA,1,4,2012,0.218
USA,USA,1,4,2012,2682.235
CAN,USA,1,4,2012,601.1780000000001
CAN,USA,1,4,2013,592.206
MEX,USA,1,4,2013,0.23600000000000002
USA,USA,1,4,2013,2646.768
MEX,USA,1,4,2014,1.574
CAN,USA,1,4,2014,662.227
USA,USA,1,4,2014,1091.388
MEX,USA,1,4,2015,0.598
USA,USA,1,4,2015,549.8679999999998
CAN,USA,1,4,2015,559.8050000000002
CAN,USA,1,4,2016,417.392
USA,USA,1,4,2016,859.4230000000001
MEX,USA,1,4,2016,0.043
USA,USA,1,4,2017,728.8280000000002
CAN,USA,1,4,2017,402.968
MEX,USA,1,4,2017,0.17800000000000002
CAN,USA,1,4,2018,422.94699999999995
MEX,USA,1,4,2018,0.40299999999999997
USA,USA,1,4,2018,950.612
CAN,USA,1,4,2019,433.658
MEX,USA,1,4,2019,0.04
USA,USA,1,4,2019,1578.855
USA,CAN,1,5,2010,25.281999999999996
MEX,CAN,1,5,2010,0.017
MEX,CAN,1,5,2011,0.012
USA,CAN,1,5,2011,28.351999999999997
USA,CAN,1,5,2012,41.047
MEX,CAN,1,5,2012,0.011000000000000001
MEX,CAN,1,5,2013,0.01
USA,CAN,1,5,2013,35.484
MEX,CAN,1,5,2014,0.02
USA,CAN,1,5,2014,29.453000000000003
MEX,CAN,1,5,2015,0.022000000000000002
USA,CAN,1,5,2015,28.035
USA,CAN,1,5,2016,26.432
MEX,CAN,1,5,2016,0.002
MEX,CAN,1,5,2017,0.001
USA,CAN,1,5,2017,27.031999999999996
MEX,CAN,1,5,2018,0.0
USA,CAN,1,5,2018,33.351
USA,CAN,1,5,2019,44.281000000000006
USA,MEX,1,5,2010,9.574
CAN,MEX,1,5,2011,0.0
USA,MEX,1,5,2011,10.237
CAN,MEX,1,5,2012,0.0
USA,MEX,1,5,2012,12.626
USA,MEX,1,5,2013,8.368
CAN,MEX,1,5,2014,0.551
USA,MEX,1,5,2014,5.245
USA,MEX,1,5,2015,4.572
CAN,MEX,1,5,2015,2.928
CAN,MEX,1,5,2016,0.789
USA,MEX,1,5,2016,6.1129999999999995
USA,MEX,1,5,2017,6.7959999999999985
CAN,MEX,1,5,2018,0.06
USA,MEX,1,5,2018,5.803
USA,MEX,1,5,2019,5.347
MEX,USA,1,5,2010,0.19899999999999998
CAN,USA,1,5,2010,13.217
CAN,USA,1,5,2011,6.9239999999999995
MEX,USA,1,5,2011,0.27
CAN,USA,1,5,2012,10.484000000000002
MEX,USA,1,5,2012,0.494
MEX,USA,1,5,2013,0.124
CAN,USA,1,5,2013,13.844000000000001
MEX,USA,1,5,2014,0.042
CAN,USA,1,5,2014,11.276
MEX,USA,1,5,2015,0.018000000000000002
CAN,USA,1,5,2015,10.954
MEX,USA,1,5,2016,0.01
CAN,USA,1,5,2016,9.482999999999999
CAN,USA,1,5,2017,9.414
MEX,USA,1,5,2017,0.012
MEX,USA,1,5,2018,0.022000000000000002
CAN,USA,1,5,2018,9.937999999999999
CAN,USA,1,5,2019,8.488
MEX,USA,1,5,2019,0.0
MEX,CAN,1,5,2019,0.0
CAN,MEX,1,5,2010,0.0
CAN,MEX,1,5,2013,0.0
CAN,MEX,1,5,2019,0.0
CAN,MEX,1,5,2017,0.0
USA,CAN,1,6,2010,92.198
CAN,CAN,1,6,2010,349.26599999999996
USA,CAN,1,6,2011,128.806
CAN,CAN,1,6,2011,331.841
CAN,CAN,1,6,2012,596.768
USA,CAN,1,6,2012,123.814
CAN,CAN,1,6,2013,414.19
USA,CAN,1,6,2013,104.43799999999999
CAN,CAN,1,6,2014,672.898
USA,CAN,1,6,2014,144.34799999999998
CAN,CAN,1,6,2015,284.422
USA,CAN,1,6,2015,91.022
USA,CAN,1,6,2016,109.37899999999999
CAN,CAN,1,6,2016,394.314
USA,CAN,1,6,2017,169.11900000000003
CAN,CAN,1,6,2017,605.127
CAN,CAN,1,6,2018,711.809
USA,CAN,1,6,2018,315.839
USA,CAN,1,6,2019,196.852
USA,MEX,1,6,2010,1507.932
MEX,MEX,1,6,2010,72.605
CAN,MEX,1,6,2010,0.001
USA,MEX,1,6,2011,1663.4379999999999
CAN,MEX,1,6,2011,0.096
MEX,MEX,1,6,2011,103.76299999999999
USA,MEX,1,6,2012,1899.016
MEX,MEX,1,6,2012,132.482
MEX,MEX,1,6,2013,117.959
USA,MEX,1,6,2013,1611.805
USA,MEX,1,6,2014,1834.05
MEX,MEX,1,6,2014,156.795
CAN,MEX,1,6,2014,4.334
MEX,MEX,1,6,2015,124.61399999999999
USA,MEX,1,6,2015,1470.404
CAN,MEX,1,6,2015,0.045
USA,MEX,1,6,2016,1454.3629999999998
MEX,MEX,1,6,2016,186.03
MEX,MEX,1,6,2017,158.9
USA,MEX,1,6,2017,1574.6879999999999
USA,MEX,1,6,2018,1877.625
MEX,MEX,1,6,2018,114.37200000000001
MEX,MEX,1,6,2019,81.4
USA,MEX,1,6,2019,1940.412
MEX,USA,1,6,2010,0.05
CAN,USA,1,6,2010,167.92
USA,USA,1,6,2010,18219.553
USA,USA,1,6,2011,17870.563000000002
MEX,USA,1,6,2011,0.016
CAN,USA,1,6,2011,161.72
CAN,USA,1,6,2012,211.65200000000002
MEX,USA,1,6,2012,0.003
USA,USA,1,6,2012,18973.796000000002
CAN,USA,1,6,2013,331.273
USA,USA,1,6,2013,21636.861
MEX,USA,1,6,2013,0.036000000000000004
USA,USA,1,6,2014,13169.409
CAN,USA,1,6,2014,290.757
MEX,USA,1,6,2014,0.145
USA,USA,1,6,2015,13457.423999999999
CAN,USA,1,6,2015,209.356
MEX,USA,1,6,2015,0.031
MEX,USA,1,6,2016,0.027000000000000003
CAN,USA,1,6,2016,100.29899999999999
USA,USA,1,6,2016,17718.602
CAN,USA,1,6,2017,85.90100000000001
USA,USA,1,6,2017,17061.208
MEX,USA,1,6,2017,0.245
MEX,USA,1,6,2018,0.004
USA,USA,1,6,2018,16102.598999999998
CAN,USA,1,6,2018,88.32600000000001
CAN,USA,1,6,2019,73.128
MEX,USA,1,6,2019,1.318
USA,USA,1,6,2019,12009.751
CAN,MEX,1,6,2016,0.0
CAN,MEX,1,6,2012,0.0
CAN,MEX,1,6,2018,0.0
CAN,MEX,1,6,2019,0.0
CAN,MEX,1,6,2013,0.0
CAN,MEX,1,6,2017,0.0
MEX,CAN,1,7,2010,1.263
CAN,CAN,1,7,2010,1590.37
USA,CAN,1,7,2010,188.49
USA,CAN,1,7,2011,207.132
CAN,CAN,1,7,2011,2843.656
MEX,CAN,1,7,2011,1.415
CAN,CAN,1,7,2012,2421.2729999999997
MEX,CAN,1,7,2012,2.677
USA,CAN,1,7,2012,243.24099999999999
USA,CAN,1,7,2013,198.53099999999998
CAN,CAN,1,7,2013,5550.28
MEX,CAN,1,7,2013,7.72
CAN,CAN,1,7,2014,1366.6960000000001
MEX,CAN,1,7,2014,6.526
USA,CAN,1,7,2014,212.1
MEX,CAN,1,7,2015,3.123
CAN,CAN,1,7,2015,2284.322
USA,CAN,1,7,2015,206.32299999999998
CAN,CAN,1,7,2016,2617.755
MEX,CAN,1,7,2016,2.612
USA,CAN,1,7,2016,210.21
CAN,CAN,1,7,2017,2927.446
USA,CAN,1,7,2017,214.437
MEX,CAN,1,7,2017,4.879
MEX,CAN,1,7,2018,4.898
CAN,CAN,1,7,2018,3001.558
USA,CAN,1,7,2018,232.66
USA,CAN,1,7,2019,231.593
CAN,CAN,1,7,2019,2483.075
MEX,CAN,1,7,2019,4.257
USA,MEX,1,7,2010,161.895
CAN,MEX,1,7,2010,649.104
MEX,MEX,1,7,2010,681.313
CAN,MEX,1,7,2011,949.097
MEX,MEX,1,7,2011,1012.387
USA,MEX,1,7,2011,163.30700000000002
CAN,MEX,1,7,2012,913.1619999999999
MEX,MEX,1,7,2012,899.3839999999999
USA,MEX,1,7,2012,175.65900000000002
USA,MEX,1,7,2013,162.765
CAN,MEX,1,7,2013,808.205
MEX,MEX,1,7,2013,818.313
MEX,MEX,1,7,2014,965.8789999999999
CAN,MEX,1,7,2014,689.8050000000002
USA,MEX,1,7,2014,174.165
USA,MEX,1,7,2015,157.842
CAN,MEX,1,7,2015,662.0609999999998
MEX,MEX,1,7,2015,730.3510000000001
CAN,MEX,1,7,2016,604.957
USA,MEX,1,7,2016,192.81099999999998
MEX,MEX,1,7,2016,660.5
MEX,MEX,1,7,2017,978.9019999999999
CAN,MEX,1,7,2017,698.5039999999999
USA,MEX,1,7,2017,193.81900000000002
CAN,MEX,1,7,2018,628.8439999999998
MEX,MEX,1,7,2018,1100.364
USA,MEX,1,7,2018,191.58599999999998
MEX,MEX,1,7,2019,957.414
CAN,MEX,1,7,2019,347.408
USA,MEX,1,7,2019,196.666
MEX,USA,1,7,2010,19.230999999999998
CAN,USA,1,7,2010,400.86400000000003
USA,USA,1,7,2010,8610.117
USA,USA,1,7,2011,13061.343
MEX,USA,1,7,2011,17.761
CAN,USA,1,7,2011,597.081
MEX,USA,1,7,2012,16.418
CAN,USA,1,7,2012,470.05199999999996
USA,USA,1,7,2012,14619.003
USA,USA,1,7,2013,9943.357
CAN,USA,1,7,2013,510.10900000000004
MEX,USA,1,7,2013,37.459
CAN,USA,1,7,2014,668.622
MEX,USA,1,7,2014,33.149
USA,USA,1,7,2014,10565.823999999999
CAN,USA,1,7,2015,437.154
MEX,USA,1,7,2015,32.233000000000004
USA,USA,1,7,2015,11186.126
MEX,USA,1,7,2016,30.984
CAN,USA,1,7,2016,397.155
USA,USA,1,7,2016,2020.632
USA,USA,1,7,2017,2175.468
MEX,USA,1,7,2017,36.692
CAN,USA,1,7,2017,396.034
CAN,USA,1,7,2018,427.04900000000004
USA,USA,1,7,2018,8542.313
MEX,USA,1,7,2018,35.684
CAN,USA,1,7,2019,421.539
MEX,USA,1,7,2019,36.8
USA,USA,1,7,2019,1726.519
MEX,CAN,1,8,2010,0.03
USA,CAN,1,8,2010,65.015
USA,CAN,1,8,2011,69.831
MEX,CAN,1,8,2011,0.035
MEX,CAN,1,8,2012,0.040999999999999995
USA,CAN,1,8,2012,80.362
MEX,CAN,1,8,2013,0.052000000000000005
USA,CAN,1,8,2013,76.721
USA,CAN,1,8,2014,79.14099999999998
MEX,CAN,1,8,2014,0.069
MEX,CAN,1,8,2015,0.05
USA,CAN,1,8,2015,72.863
MEX,CAN,1,8,2016,0.051
USA,CAN,1,8,2016,73.595
USA,CAN,1,8,2017,68.37700000000001
MEX,CAN,1,8,2017,0.048
MEX,CAN,1,8,2018,0.055
USA,CAN,1,8,2018,80.03699999999999
MEX,CAN,1,8,2019,0.035
USA,CAN,1,8,2019,79.88900000000002
CAN,MEX,1,8,2010,0.095
USA,MEX,1,8,2010,36.911
CAN,MEX,1,8,2011,0.0
USA,MEX,1,8,2011,57.676
CAN,MEX,1,8,2012,0.0
USA,MEX,1,8,2012,51.401
USA,MEX,1,8,2013,67.92
USA,MEX,1,8,2014,51.032
CAN,MEX,1,8,2015,0.0
USA,MEX,1,8,2015,34.472
USA,MEX,1,8,2016,26.31
CAN,MEX,1,8,2016,0.0
USA,MEX,1,8,2017,30.328000000000003
USA,MEX,1,8,2018,17.921
USA,MEX,1,8,2019,19.535999999999998
CAN,USA,1,8,2010,41.708999999999996
MEX,USA,1,8,2010,1.619
MEX,USA,1,8,2011,13.752
CAN,USA,1,8,2011,67.13600000000001
CAN,USA,1,8,2012,97.54
MEX,USA,1,8,2012,7.263
MEX,USA,1,8,2013,13.482999999999999
CAN,USA,1,8,2013,97.824
MEX,USA,1,8,2014,18.012
CAN,USA,1,8,2014,86.206
CAN,USA,1,8,2015,76.531
MEX,USA,1,8,2015,12.001
CAN,USA,1,8,2016,76.107
MEX,USA,1,8,2016,5.941
MEX,USA,1,8,2017,5.624
CAN,USA,1,8,2017,74.904
CAN,USA,1,8,2018,97.412
MEX,USA,1,8,2018,10.912
MEX,USA,1,8,2019,12.448
CAN,USA,1,8,2019,101.535
CAN,MEX,1,8,2018,0.0
CAN,MEX,1,8,2013,0.0
CAN,MEX,1,8,2014,0.0
CAN,MEX,1,8,2017,0.0
CAN,MEX,1,8,2019,0.0
CAN,CAN,1,9,2010,38.618
CAN,CAN,1,9,2011,37.692
CAN,CAN,1,9,2012,31.410999999999998
USA,CAN,1,9,2012,0.0
USA,CAN,1,9,2013,0.0
CAN,CAN,1,9,2013,40.453
CAN,CAN,1,9,2014,45.278999999999996
USA,CAN,1,9,2014,0.0
CAN,CAN,1,9,2015,31.614
CAN,CAN,1,9,2016,51.467
USA,CAN,1,9,2017,0.0
CAN,CAN,1,9,2017,54.607
CAN,CAN,1,9,2018,100.12100000000001
USA,CAN,1,9,2018,0.0
USA,CAN,1,9,2019,0.001
MEX,MEX,1,9,2010,2473.197
MEX,MEX,1,9,2011,2444.516
MEX,MEX,1,9,2012,2567.363
MEX,MEX,1,9,2013,2466.225
USA,MEX,1,9,2013,0.013999999999999999
MEX,MEX,1,9,2014,1973.308
MEX,MEX,1,9,2015,1683.168
MEX,MEX,1,9,2016,1660.8039999999999
MEX,MEX,1,9,2017,2029.655
MEX,MEX,1,9,2018,2308.93
MEX,MEX,1,9,2019,2400.492
CAN,USA,1,9,2010,0.012
USA,USA,1,9,2010,3292.0640000000003
CAN,USA,1,9,2011,21.313000000000002
USA,USA,1,9,2011,3397.046
CAN,USA,1,9,2012,19.926
USA,USA,1,9,2012,3677.409
USA,USA,1,9,2013,2523.0820000000003
CAN,USA,1,9,2013,7.702999999999999
USA,USA,1,9,2014,2496.083
CAN,USA,1,9,2015,3.07
USA,USA,1,9,2015,2659.34
USA,USA,1,9,2016,2355.145
CAN,USA,1,9,2016,3.353
USA,USA,1,9,2017,2466.947
USA,USA,1,9,2018,2336.935
MEX,USA,1,9,2018,0.021
USA,MEX,1,9,2014,0.0
MEX,USA,1,9,2011,0.0
USA,CAN,1,9,2015,0.0
USA,MEX,1,9,2015,0.0
CAN,USA,1,9,2014,0.0
CAN,USA,1,9,2018,0.0
MEX,USA,1,9,2016,0.0
MEX,USA,1,9,2012,0.0
MEX,USA,1,9,2014,0.0
USA,MEX,1,9,2010,0.0
MEX,USA,1,9,2013,0.0
USA,CAN,1,9,2011,0.0
USA,MEX,1,9,2017,0.0
MEX,USA,1,9,2017,0.0
USA,CAN,1,9,2016,0.0
USA,MEX,1,9,2016,0.0
CAN,USA,1,9,2019,0.0
USA,MEX,1,9,2012,0.0
USA,MEX,1,9,2019,0.0
MEX,USA,1,9,2019,0.0
USA,CAN,1,9,2010,0.0
MEX,USA,1,9,2010,0.0
USA,MEX,1,9,2018,0.0
MEX,USA,1,9,2015,0.0
USA,MEX,1,9,2011,0.0
CAN,USA,1,9,2017,0.0
CAN,CAN,1,10,2010,186.36
USA,CAN,1,10,2010,1.83
MEX,CAN,1,10,2010,0.001
CAN,CAN,1,10,2011,239.018
MEX,CAN,1,10,2011,0.002
USA,CAN,1,10,2011,1.659
CAN,CAN,1,10,2012,257.768
MEX,CAN,1,10,2012,0.003
USA,CAN,1,10,2012,1.449
MEX,CAN,1,10,2013,0.003
CAN,CAN,1,10,2013,215.015
USA,CAN,1,10,2013,2.978
CAN,CAN,1,10,2014,246.39
MEX,CAN,1,10,2014,0.125
USA,CAN,1,10,2014,3.3989999999999996
CAN,CAN,1,10,2015,228.928
USA,CAN,1,10,2015,4.822
