Id,LotArea,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,MasVnrType,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,SaleType,SaleCondition,SalePrice
29,16321,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,None,TA,TA,CBlock,GasA,TA,1,1600,TA,6,Typ,2,1,319,Y,WD,Normal,207500
30,6324,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,None,TA,TA,BrkTil,GasA,Fa,0,520,Fa,4,Typ,0,1,240,Y,WD,Normal,68500
31,8500,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,None,TA,Fa,BrkTil,GasA,TA,0,1317,TA,6,Typ,0,1,250,N,WD,Normal,40000
32,8544,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,None,TA,TA,CBlock,GasA,Gd,1,1228,Gd,6,Typ,0,1,271,Y,WD,Normal,149350
33,11049,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,None,Gd,TA,PConc,GasA,Ex,1,1234,Gd,7,Typ,0,2,484,Y,WD,Normal,179900
34,10552,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,None,TA,TA,CBlock,GasA,Gd,1,1700,Gd,6,Typ,1,2,447,Y,WD,Normal,165500
35,7313,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,BrkFace,Ex,TA,PConc,GasA,Ex,1,1561,Ex,6,Typ,1,2,556,Y,WD,Normal,277500
36,13418,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Stone,Gd,TA,PConc,GasA,Ex,1,2452,Gd,9,Typ,1,3,691,Y,WD,Normal,309000
37,10859,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,None,TA,TA,PConc,GasA,Ex,1,1097,TA,6,Typ,0,2,672,Y,WD,Normal,145000
38,8532,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,BrkFace,TA,TA,CBlock,GasA,Gd,1,1297,TA,5,Typ,1,2,498,Y,WD,Normal,153000
39,7922,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,None,TA,Gd,CBlock,GasA,TA,1,1057,Gd,5,Typ,0,1,246,Y,WD,Abnorml,109000
40,6040,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,None,TA,TA,PConc,GasA,TA,0,1152,Fa,6,Typ,0,0,0,N,WD,AdjLand,82000
41,8658,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,BrkFace,TA,TA,CBlock,GasA,Ex,1,1324,TA,6,Typ,1,2,440,Y,WD,Abnorml,160000
42,16905,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,None,TA,Gd,CBlock,GasA,Gd,1,1328,TA,5,Typ,2,1,308,P,WD,Normal,170000
43,9180,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,None,TA,TA,CBlock,GasA,Gd,1,884,Gd,5,Typ,0,2,504,Y,WD,Normal,144000
44,9200,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,None,TA,TA,CBlock,GasA,TA,1,938,TA,5,Typ,0,1,308,Y,WD,Normal,130250
45,7945,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,None,TA,TA,CBlock,GasA,Ex,1,1150,TA,6,Typ,0,1,300,Y,WD,Normal,141000
46,7658,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,BrkFace,Ex,TA,PConc,GasA,Ex,1,1752,Ex,6,Typ,1,2,576,Y,WD,Normal,319900
47,12822,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,None,Gd,TA,PConc,GasA,Ex,1,2149,Gd,6,Typ,1,2,670,Y,WD,Abnorml,239686
48,11096,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,None,Gd,TA,PConc,GasA,Ex,1,1656,Gd,7,Typ,0,3,826,Y,WD,Normal,249700
49,4456,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,None,TA,TA,BrkTil,GasA,Gd,1,1452,TA,8,Typ,0,0,0,N,New,Partial,113000
50,7742,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,None,TA,TA,CBlock,GasA,Ex,1,955,TA,6,Typ,0,1,386,Y,WD,Normal,127000
51,13869,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,None,TA,TA,PConc,GasA,Gd,1,1470,TA,6,Typ,0,2,388,Y,WD,Normal,177000
52,6240,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,None,TA,TA,PConc,GasA,TA,1,1176,TA,6,Typ,1,2,528,Y,WD,Normal,114500
53,8472,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,None,Fa,TA,CBlock,GasA,TA,0,816,TA,5,Typ,0,2,516,Y,WD,Normal,110000
54,50271,Low,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,None,Gd,TA,CBlock,GasA,Gd,1,1842,Gd,5,Typ,1,3,894,Y,WD,Normal,385000
55,7134,Bnk,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,None,TA,TA,CBlock,GasA,TA,1,1360,TA,6,Min1,1,2,572,Y,WD,Normal,130000
56,10175,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,BrkFace,TA,TA,CBlock,GasA,Gd,1,1425,TA,7,Typ,1,2,576,Y,WD,Normal,180500
57,2645,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,1739,Gd,7,Typ,0,2,480,Y,WD,Abnorml,172500
58,11645,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,None,Gd,TA,PConc,GasA,Ex,1,1720,Gd,7,Typ,0,2,565,Y,WD,Normal,196500
59,13682,HLS,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,BrkFace,Ex,TA,PConc,GasA,Ex,1,2945,Gd,10,Typ,1,3,641,Y,New,Partial,438780
60,7200,Bnk,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,None,TA,TA,CBlock,GasA,Ex,1,780,TA,4,Typ,0,1,352,Y,WD,Normal,124900
61,13072,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,None,TA,TA,PConc,GasA,Ex,1,1158,Gd,5,Typ,0,2,576,Y,New,Partial,158000
62,7200,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,None,TA,TA,BrkTil,GasA,TA,0,1111,Fa,6,Typ,0,1,288,N,WD,Normal,101000
63,6442,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,Stone,Gd,TA,PConc,GasA,Ex,1,1370,Gd,6,Typ,1,2,484,Y,WD,Normal,202500
64,10300,Bnk,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,None,TA,TA,BrkTil,GasA,Gd,1,1710,TA,9,Typ,0,2,480,Y,WD,Normal,140000
65,9375,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,BrkFace,TA,TA,PConc,GasA,Ex,1,2034,Gd,8,Typ,0,2,645,Y,WD,Normal,219500
66,9591,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,2473,Gd,9,Typ,1,3,852,Y,WD,Normal,317000
67,19900,Lvl,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,7,5,BrkFace,TA,TA,CBlock,GasA,TA,1,2207,TA,7,Min1,1,2,576,Y,WD,Normal,180000
68,10665,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,1479,Gd,7,Typ,0,2,558,Y,WD,Normal,226000
69,4608,Lvl,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,4,6,None,TA,Gd,CBlock,GasA,TA,1,747,TA,4,Typ,0,1,220,Y,WD,Normal,80000
70,15593,Lvl,Corner,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,None,Gd,TA,CBlock,GasW,TA,1,2287,TA,7,Typ,1,2,667,Y,WD,Normal,225000
71,13651,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,BrkFace,TA,Gd,CBlock,GasA,Ex,1,2223,TA,8,Typ,2,2,516,Y,WD,Normal,244000
72,7599,Lvl,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,4,6,None,TA,TA,CBlock,GasA,TA,1,845,TA,4,Typ,0,2,360,Y,WD,Normal,129500
73,10141,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,BrkFace,TA,TA,PConc,GasA,Gd,1,1718,TA,7,Typ,1,2,427,Y,WD,Normal,185000
74,10200,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,BrkFace,TA,TA,CBlock,GasA,Gd,1,1086,TA,6,Typ,0,2,490,Y,WD,Normal,144900
75,5790,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,3,6,None,Gd,Gd,CBlock,GasA,Gd,0,1605,TA,8,Typ,0,1,379,Y,WD,Normal,107400
76,1596,Lvl,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,None,TA,TA,CBlock,GasA,TA,1,988,TA,5,Typ,0,1,297,Y,WD,Normal,91000
77,8475,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,None,TA,TA,CBlock,GasA,Ex,1,952,TA,4,Typ,0,1,283,Y,WD,Normal,135750
78,8635,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,None,TA,TA,CBlock,GasA,TA,1,1285,TA,6,Min1,0,1,240,Y,WD,Normal,127000
79,10778,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,None,TA,TA,CBlock,GasA,TA,0,1768,TA,8,Typ,0,0,0,Y,WD,Normal,136500
80,10440,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,6,None,TA,TA,PConc,GasA,Gd,1,1230,TA,5,Typ,0,2,440,Y,WD,Normal,110000
81,13000,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,6,BrkFace,TA,Gd,CBlock,GasA,TA,1,2142,Gd,8,Typ,1,1,509,Y,WD,Normal,193500
82,4500,Lvl,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,BrkFace,TA,Gd,PConc,GasA,Ex,1,1337,TA,5,Typ,0,2,405,Y,WD,Normal,153500
83,10206,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Stone,TA,TA,PConc,GasA,Ex,1,1563,Gd,6,Typ,1,3,758,Y,WD,Normal,245000
84,8892,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,BrkCmn,TA,TA,CBlock,GasA,Gd,1,1065,TA,6,Typ,0,2,461,Y,COD,Normal,126500
85,8530,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,BrkFace,TA,TA,PConc,GasA,Gd,1,1474,TA,7,Typ,1,2,400,Y,WD,Normal,168500
86,16059,Lvl,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,BrkFace,Gd,TA,CBlock,GasA,Ex,1,2417,Gd,9,Typ,1,2,462,Y,WD,Normal,260000
87,11911,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,None,Gd,TA,PConc,GasA,Ex,1,1560,Gd,6,Typ,1,2,400,Y,WD,Normal,174000
88,3951,Lvl,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,Stone,Gd,TA,PConc,GasA,Ex,1,1224,Gd,4,Typ,0,2,528,Y,New,Partial,164500
89,8470,Lvl,Corner,Gtl,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,None,Fa,Fa,CBlock,GasA,TA,0,1526,Fa,6,Typ,0,0,0,N,ConLD,Abnorml,85000
90,8070,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,4,5,None,TA,TA,PConc,GasA,Ex,1,990,TA,5,Typ,0,0,0,Y,WD,Normal,123600
91,7200,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,None,TA,TA,Slab,GasA,TA,1,1040,TA,4,Typ,0,2,420,Y,WD,Normal,109900
92,8500,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3,BrkCmn,TA,TA,CBlock,GasA,TA,1,1235,TA,6,Typ,0,2,480,Y,WD,Abnorml,98600
93,13360,HLS,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,7,None,TA,Gd,BrkTil,GasA,Ex,1,964,TA,5,Typ,0,2,432,Y,WD,Normal,163500
94,7200,Lvl,Corner,Gtl,OldTown,Norm,Norm,2fmCon,2.5Unf,6,6,None,TA,TA,BrkTil,GasW,Ex,0,2291,TA,9,Typ,1,2,506,Y,WD,Normal,133900
95,9337,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,None,TA,Gd,PConc,GasA,Ex,1,1786,Gd,7,Typ,0,2,684,Y,WD,Normal,204750
96,9765,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,8,BrkFace,Ex,Gd,PConc,GasA,Gd,1,1470,TA,6,Typ,1,2,420,Y,WD,Normal,185000
97,10264,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,1588,Gd,6,Typ,0,2,472,Y,WD,Normal,214000
98,10921,HLS,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,BrkFace,TA,TA,CBlock,GasA,TA,1,960,TA,6,Typ,0,1,432,P,WD,Normal,94750
99,10625,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,None,TA,TA,BrkTil,GasA,Fa,0,835,TA,5,Typ,0,1,366,Y,COD,Abnorml,83000
100,9320,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,None,TA,TA,CBlock,GasA,Fa,1,1225,TA,6,Typ,0,0,0,Y,WD,Normal,128950
101,10603,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,BrkFace,TA,TA,PConc,GasA,Gd,1,1610,Gd,6,Typ,2,2,480,Y,WD,Normal,205000
102,9206,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,BrkFace,Gd,TA,CBlock,GasA,TA,1,1732,Gd,7,Typ,1,2,476,Y,WD,Normal,178000
103,7018,Bnk,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,5,5,None,TA,Fa,Slab,GasA,TA,1,1535,TA,8,Typ,0,2,410,Y,WD,Alloca,118964
104,10402,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,None,TA,TA,PConc,GasA,Ex,1,1226,Gd,6,Typ,0,3,740,Y,WD,Normal,198900
105,7758,Lvl,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,7,4,BrkFace,TA,Fa,PConc,GasA,Ex,1,1818,TA,7,Typ,2,1,240,Y,WD,Normal,169500
106,9375,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,1992,Gd,9,Typ,1,2,648,Y,WD,Normal,250000
107,10800,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,None,TA,TA,BrkTil,GasA,Gd,1,1047,TA,6,Typ,0,1,273,N,WD,Normal,100000
108,6000,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,None,TA,TA,CBlock,GasA,Ex,1,789,TA,5,Typ,0,1,250,Y,WD,Partial,115000
109,8500,Lvl,Corner,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,5,7,None,TA,TA,CBlock,GasW,TA,0,1517,Fa,7,Typ,0,0,0,N,WD,Normal,115000
110,11751,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,BrkFace,TA,TA,CBlock,GasA,Ex,1,1844,TA,7,Typ,1,2,546,Y,COD,Normal,190000
111,9525,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,None,TA,TA,CBlock,GasA,Gd,1,1855,TA,7,Typ,0,1,325,Y,WD,Normal,136900
112,7750,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,None,TA,TA,PConc,GasA,Ex,1,1430,TA,7,Typ,1,2,400,Y,WD,Normal,180000
113,9965,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Stone,Gd,TA,PConc,GasA,Ex,1,2696,Ex,10,Typ,1,3,792,Y,New,Partial,383970
114,21000,Bnk,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,5,BrkFace,TA,Gd,CBlock,GasA,TA,1,2259,Gd,7,Typ,2,2,450,Y,COD,Abnorml,217000
115,7259,Lvl,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,8,None,TA,TA,CBlock,GasA,Ex,1,2320,Gd,9,Typ,1,1,180,Y,WD,Normal,259500
116,3230,Lvl,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,BrkFace,TA,TA,PConc,GasA,Gd,1,1458,TA,5,Typ,1,2,440,Y,WD,Normal,176000
117,11616,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,BrkFace,TA,TA,CBlock,GasA,TA,1,1092,TA,6,Typ,1,1,288,Y,WD,Normal,139000
118,8536,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,None,TA,TA,PConc,GasA,Gd,1,1125,TA,5,Typ,0,2,430,Y,New,Partial,155000
119,12376,Lvl,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,None,TA,TA,PConc,GasA,Gd,1,3222,Gd,11,Typ,2,3,594,Y,WD,Normal,320000
120,8461,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,None,Gd,TA,PConc,GasA,Ex,1,1456,Gd,8,Typ,1,2,390,Y,New,Partial,163990
121,21453,Low,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,SLvl,6,5,None,TA,TA,CBlock,GasA,Ex,1,988,TA,4,Typ,2,2,540,Y,WD,Normal,180000
122,6060,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,None,TA,TA,PConc,GasA,Gd,1,1123,TA,4,Typ,0,1,264,P,WD,Normal,100000
123,9464,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,BrkFace,TA,Gd,CBlock,GasA,Gd,1,1080,TA,5,Typ,0,1,288,Y,WD,Normal,136000
124,7892,Lvl,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,None,Gd,TA,PConc,GasA,Ex,1,1199,Gd,5,Typ,0,2,530,Y,WD,Normal,153900
125,17043,Lvl,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,None,TA,Gd,CBlock,GasA,TA,1,1586,TA,7,Typ,1,2,435,Y,WD,Normal,181000
126,6780,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,2fmCon,1.5Fin,6,8,None,TA,Fa,CBlock,GasA,Gd,0,754,TA,5,Typ,0,0,0,N,WD,Normal,84500
127,4928,Lvl,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,None,TA,TA,CBlock,GasA,TA,1,958,TA,5,Typ,1,2,440,Y,WD,Normal,128000
128,4388,Bnk,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Unf,5,7,None,TA,Gd,BrkTil,GasA,Ex,1,840,TA,5,Typ,1,0,0,N,WD,Normal,87000
129,7590,Lvl,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,6,5,BrkFace,TA,TA,CBlock,GasA,TA,1,1348,TA,6,Typ,1,2,453,Y,WD,Normal,155000
130,8973,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,BrkFace,TA,TA,CBlock,GasA,TA,1,1053,Ex,6,Typ,0,2,750,Y,WD,Abnorml,150000
131,14200,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,2Story,7,6,BrkFace,TA,TA,CBlock,GasA,Ex,1,2157,Gd,8,Typ,2,2,487,Y,WD,Normal,226000
132,12224,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,BrkFace,Gd,TA,PConc,GasA,Ex,1,2054,Gd,7,Typ,1,2,390,Y,WD,Normal,244000
133,7388,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,None,TA,TA,CBlock,GasA,Gd,1,1327,Gd,7,Typ,0,2,624,Y,WD,Normal,150750
